version,match_id,list_date,competition,match,selected_team,selected_side,line,water,grade,score,result_state,result,pnl_1u,result_source,settlement_status,decision_id,run_id,model_id,quote_at,last_confirmed_at,kickoff_at,hours_from_last_refresh_to_kickoff,is_morning_baseline,is_latest_valid_prematch
V4_SHADOW,3059459,2026-09-16,埃及超,艾尔格纳 vs 佩特捷德,佩特捷德,giving,-0.25,1.05,C,1-2,-1,W,1.05,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,84df3ec77b1fa86299c0,RUN_20260916_205341,v4-market-dirichlet-20260913,2026-09-16T20:49:42+08:00,2026-09-16T20:49:42+08:00,2026-09-16T22:00:00+08:00,1.172,False,True
V4_SHADOW,3089131,2026-09-16,意丁,尼萨FC vs 特腊帕尼,特腊帕尼,receiving,0.75,0.99,C,2-0,-1,L,-1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,8ffa8006dfa82233208c,RUN_20260916_205341,v4-market-dirichlet-20260913,2026-09-16T20:49:42+08:00,2026-09-16T20:49:42+08:00,2026-09-16T22:30:00+08:00,1.672,False,True
V4_SHADOW,3074093,2026-09-16,希腊杯,基菲萨 vs 帕纳辛纳科斯,帕纳辛纳科斯,giving,-1.25,1.03,C,0-2,-1,W,1.03,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,a28ab906b99ba632ade4,RUN_20260916_205341,v4-market-dirichlet-20260913,2026-09-16T20:49:42+08:00,2026-09-16T20:49:42+08:00,2026-09-16T22:45:00+08:00,1.922,False,True
V4_SHADOW,3012305,2026-09-16,俄超,罗迪纳莫斯科 vs 喀山红宝石,罗迪纳莫斯科,receiving,0.25,1.06,C,1-1,-1,HW,0.53,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,42f511e4316f065dc483,RUN_20260916_205341,v4-market-dirichlet-20260913,2026-09-16T20:49:42+08:00,2026-09-16T20:49:42+08:00,2026-09-16T23:30:00+08:00,2.672,False,True
V4_SHADOW,3068992,2026-09-16,亚冠联2,阿布扎比统一 vs 科威特竞技,阿布扎比统一,giving,-1.5,0.91,C,3-2,-1,L,-1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,8f014754e2ca191c48d0,RUN_20260916_235456,v4-market-dirichlet-20260913,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T00:00:00+08:00,0.158,False,True
V4_SHADOW,3084239,2026-09-16,挪威杯,诺托登 vs 奥德,诺托登,receiving,0.5,1.0,C,2-3,-1,L,-1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,8eb99a8b2e19349ee200,RUN_20260916_235456,v4-market-dirichlet-20260913,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T00:00:00+08:00,0.158,False,True
V4_SHADOW,3084240,2026-09-16,挪威杯,奥斯图恩 vs 布兰,奥斯图恩,receiving,3.25,0.99,C,1-2,-1,W,0.99,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,a75bd2fcd361cf66ac5d,RUN_20260916_235456,v4-market-dirichlet-20260913,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T00:00:00+08:00,0.158,False,True
V4_SHADOW,3084242,2026-09-16,挪威杯,维得比查 vs 斯达,斯达,giving,-2.25,0.9,C,2-3,-1,L,-1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,5424c70c9ecaf3f99615,RUN_20260916_235456,v4-market-dirichlet-20260913,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T00:00:00+08:00,0.158,False,True
V4_SHADOW,3089763,2026-09-16,斯伐杯,尼特拉 vs 布拉迪斯拉发,尼特拉,receiving,2.5,0.76,A,1-3,-1,W,0.76,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,198dee592b017c63f201,RUN_20260916_235456,v4-market-dirichlet-20260913,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T00:30:00+08:00,0.658,False,True
V4_SHADOW,3073770,2026-09-16,欧罗巴杯,奥莫尼亚 vs 塞尔塔,奥莫尼亚,receiving,0.5,1.02,C,1-0,-1,W,1.02,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,7b21df2cdeb77ef9bcb4,RUN_20260916_235456,v4-market-dirichlet-20260913,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T00:45:00+08:00,0.908,False,True
V4_SHADOW,3013693,2026-09-16,西甲,马德里竞技 vs 奥萨苏纳,马德里竞技,giving,-1.5,1.06,B,4-0,-1,W,1.06,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,d3db6d776fe0f7f30160,RUN_20260916_235456,v4-market-dirichlet-20260913,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T01:00:00+08:00,1.158,False,True
V4_SHADOW,3026048,2026-09-16,德丙,罗斯托克 vs 史特加青年队,罗斯托克,giving,-1.25,1.05,C,3-2,-1,HL,-0.5,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,67af5e06ce6bf75a90e9,RUN_20260916_235456,v4-market-dirichlet-20260913,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T01:00:00+08:00,1.158,False,True
V4_SHADOW,3026050,2026-09-16,德丙,曼海姆 vs 埃森,曼海姆,receiving,0.25,1.0,C,1-2,-1,L,-1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260917\20260917_070607_titan007_odds_snapshot.csv,SETTLED,b3f1ec98ec52e672961e,RUN_20260916_235456,v4-market-dirichlet-20260913,2026-09-16T23:50:31+08:00,2026-09-16T23:50:31+08:00,2026-09-17T01:00:00+08:00,1.158,False,True
