version,match_id,list_date,competition,match,selected_team,selected_side,line,water,grade,score,result,pnl_1u,result_source,settlement_status,decision_id,run_id,model_id,quote_at,last_confirmed_at,kickoff_at,hours_from_last_refresh_to_kickoff,is_morning_baseline,is_latest_valid_prematch
V4_SHADOW,3048489,2026-09-14,沙地甲,阿尔乌拉 vs 吉达里比亚,阿尔乌拉,giving,-2.0,0.76,C,,,,,NO_VERIFIED_SCORE_IN_CURRENT_TITAN_SNAPSHOT,578c621354069c7cac97,,v4-market-dirichlet-20260913,,,2026-09-15T00:05:00+08:00,,False,False
V4_SHADOW,3048490,2026-09-14,沙地甲,麦加统一 vs 阿科多,阿科多,receiving,0.25,1.14,B,,,,,NO_VERIFIED_SCORE_IN_CURRENT_TITAN_SNAPSHOT,70f85c7c7bd11a9f0a8e,,v4-market-dirichlet-20260913,,,2026-09-15T00:05:00+08:00,,False,False
V4_SHADOW,3021987,2026-09-14,俄甲,韦莱斯 vs 索契,韦莱斯,receiving,0.25,1.02,C,,,,,NO_VERIFIED_SCORE_IN_CURRENT_TITAN_SNAPSHOT,d832550198e8acacb15c,,v4-market-dirichlet-20260913,,,2026-09-15T00:30:00+08:00,,False,False
V4_SHADOW,2912268,2026-09-14,瑞典超,尤尔加登 vs 哥德堡盖斯,尤尔加登,giving,-1.25,1.09,C,,,,,NO_VERIFIED_SCORE_IN_CURRENT_TITAN_SNAPSHOT,b9e4c44508eb825b642a,,v4-market-dirichlet-20260913,,,2026-09-15T01:00:00+08:00,,False,False
V4_SHADOW,3026729,2026-09-14,土超,加济安泰普大都会 vs 费内巴切,加济安泰普大都会,receiving,1.0,1.04,C,,,,,NO_VERIFIED_SCORE_IN_CURRENT_TITAN_SNAPSHOT,c6fdeab2f80b4af64ada,,v4-market-dirichlet-20260913,,,2026-09-15T01:00:00+08:00,,False,False
V4_SHADOW,2998244,2026-09-14,丹麦超,中日德兰 vs 布隆德比,中日德兰,giving,-0.75,1.03,C,,,,,NO_VERIFIED_SCORE_IN_CURRENT_TITAN_SNAPSHOT,12018a36f8c19b406cfa,,v4-market-dirichlet-20260913,,,2026-09-15T01:00:00+08:00,,False,False
V4_SHADOW,3001608,2026-09-14,以超,基尔史莫纳夏普尔 vs 海法马卡比,基尔史莫纳夏普尔,receiving,0.5,1.05,C,,,,,NO_VERIFIED_SCORE_IN_CURRENT_TITAN_SNAPSHOT,658cbba22a26528d770e,,v4-market-dirichlet-20260913,,,2026-09-15T01:00:00+08:00,,False,False
V4_SHADOW,3030150,2026-09-14,土甲,开塞利体育 vs 伊斯坦堡士邦,开塞利体育,giving,-1.25,0.99,C,,,,,NO_VERIFIED_SCORE_IN_CURRENT_TITAN_SNAPSHOT,7e1a54b18a12f6770548,,v4-market-dirichlet-20260913,,,2026-09-15T01:00:00+08:00,,False,False
V4_SHADOW,2914701,2026-09-14,瑞典甲,奥斯特桑斯 vs 赫尔辛堡,赫尔辛堡,receiving,0.5,1.05,C,,,,,NO_VERIFIED_SCORE_IN_CURRENT_TITAN_SNAPSHOT,90c6994e29e9f3e360e8,,v4-market-dirichlet-20260913,,,2026-09-15T01:05:00+08:00,,False,False
V4_SHADOW,3068929,2026-09-14,亚冠精英,吉达国民 vs 塔什干棉农,吉达国民,giving,-2.0,0.94,C,,,,,NO_VERIFIED_SCORE_IN_CURRENT_TITAN_SNAPSHOT,755e38e66e97b9a4fb46,,v4-market-dirichlet-20260913,,,2026-09-15T02:15:00+08:00,,False,False
V4_SHADOW,2993788,2026-09-14,意甲,国际米兰 vs 乌迪内斯,国际米兰,giving,-2.0,0.93,C,,,,,NO_VERIFIED_SCORE_IN_CURRENT_TITAN_SNAPSHOT,d6d24f7d9a3529812aa6,,v4-market-dirichlet-20260913,,,2026-09-15T02:45:00+08:00,,False,False
V4_SHADOW,2914396,2026-09-14,爱超,邓多克 vs 圣帕特里克,圣帕特里克,giving,-0.5,1.02,C,,,,,NO_VERIFIED_SCORE_IN_CURRENT_TITAN_SNAPSHOT,1273b926699db8d1b11e,,v4-market-dirichlet-20260913,,,2026-09-15T02:45:00+08:00,,False,False
V4_SHADOW,3087971,2026-09-14,冰岛超冠,维京古尔 vs 凯夫拉维克,维京古尔,giving,-2.0,0.88,C,,,,,NO_VERIFIED_SCORE_IN_CURRENT_TITAN_SNAPSHOT,cd17b445a04a3bca3271,,v4-market-dirichlet-20260913,,,2026-09-15T03:15:00+08:00,,False,False
V4_SHADOW,3023479,2026-09-14,葡超,布拉加 vs 埃斯托里尔,埃斯托里尔,receiving,1.25,1.03,C,,,,,NO_VERIFIED_SCORE_IN_CURRENT_TITAN_SNAPSHOT,46fc5d3fd966bc1342ca,,v4-market-dirichlet-20260913,,,2026-09-15T03:45:00+08:00,,False,False
V4_SHADOW,3012185,2026-09-14,哥伦乙秋,奥尔索马尔索 vs 卡利竞技,卡利竞技,receiving,0.75,1.08,C,,,,,NO_VERIFIED_SCORE_IN_CURRENT_TITAN_SNAPSHOT,95028cf7af1669114876,,v4-market-dirichlet-20260913,,,2026-09-15T06:45:00+08:00,,False,False
