group_by,group,n,effective_n,predicted_effective_win_rate,actual_effective_win_rate,brier,five_state_brier,ece,slope,intercept,status
region,其他系列,183,163.0,0.552530007539679,0.5061349693251533,0.2542602376929924,0.6160671033088627,0.05042326044934406,-0.4158317834021121,0.11271498864661872,MONITOR
region,欧洲五大系列,88,77.0,0.5532864746212472,0.44155844155844154,0.2568846694362331,0.613970151391323,0.11172803306280565,1.5322716020159164,-0.5663668144245992,INSUFFICIENT_FORWARD
region,南美系列,3,3.0,0.5310756670578035,0.0,0.28233348565761235,0.5544624073393364,0.5310756670578035,,,INSUFFICIENT_FORWARD
region,日韩系列,18,16.5,0.5503229675609762,0.45454545454545453,0.254318821607626,0.6410829843379644,0.09577751301552165,,,INSUFFICIENT_FORWARD
region,亚运会足球独立赛事,4,3.5,0.5668429978702205,0.42857142857142855,0.2904753444851925,0.6561062826955608,0.21051412889775564,,,INSUFFICIENT_FORWARD
region,北美系列,2,2.0,0.5470525703747822,1.0,0.20728526425199204,0.5565578304301433,0.45294742962521783,,,INSUFFICIENT_FORWARD
region,欧联独立赛事,5,5.0,0.5390278290964812,0.6,0.24656044883871764,0.5615587124505242,0.06097217090351881,,,INSUFFICIENT_FORWARD
intent,阻上/诱下,38,32.0,0.5660933314755591,0.5,0.263570665886265,0.6114068225460485,0.06609333147555903,-2.68298746010745,0.7152622120484478,INSUFFICIENT_FORWARD
intent,真实示弱/阻下,70,65.5,0.5501577820847495,0.4351145038167939,0.25665087737847037,0.6059876050088706,0.14433561746635282,1.8742144924264361,-0.6428096462363629,INSUFFICIENT_FORWARD
intent,诱上/阻下,16,14.5,0.5535495402656728,0.5172413793103449,0.24877089628015803,0.6068091782973687,0.10786555235025963,,,INSUFFICIENT_FORWARD
intent,阻下/下盘保护,78,70.0,0.5505854545918686,0.5571428571428572,0.2474910415842281,0.619640848522338,0.006557402550988591,0.1314201923209821,0.2027977053033081,INSUFFICIENT_FORWARD
intent,UNKNOWN,8,7.0,0.5564604925089648,0.5714285714285714,0.24640203822127954,0.6263602276669481,0.014968078919606609,,,INSUFFICIENT_FORWARD
intent,降温保护/诱下,16,16.0,0.5337425985844971,0.625,0.2358525125296704,0.5655488584361721,0.09125740141550287,,,INSUFFICIENT_FORWARD
intent,NEUTRAL,52,45.0,0.5434389964258951,0.35555555555555557,0.2637860465895566,0.612510375616644,0.19664387874009406,0.944586658350872,-0.7617680476323967,INSUFFICIENT_FORWARD
intent,MIXED,12,10.5,0.5808684837607875,0.38095238095238093,0.2778626970235198,0.6727326692151672,0.19991610280840638,,,INSUFFICIENT_FORWARD
intent,真实示强/阻上,21,17.0,0.5575677589491024,0.5294117647058824,0.25725037372528503,0.6367810826121753,0.07298036820703697,,,INSUFFICIENT_FORWARD
time_bucket,T-30,311,277.5,0.5520194678729912,0.4828828828828829,0.255265174487348,0.6143052170375838,0.06913658499010826,0.15758582952337336,-0.10154575885313713,MONITOR
