version,match_id,change_state,changed_fields,old_action,new_action,old_team,new_team,old_side,new_side,old_line,new_line,old_water,new_water,old_grade,new_grade,old_ev_mean,new_ev_mean,change_reason
V4_SHADOW,3093678,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093680,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093694,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093695,UNCHANGED,,,,,,,,,,,,,,,,UNCHANGED
V4_SHADOW,3093696,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093698,UNCHANGED,,,,,,,,,,,,,,,,UNCHANGED
V4_SHADOW,3093699,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093700,UNCHANGED,,,,,,,,,,,,,,,,UNCHANGED
V4_SHADOW,3093701,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093702,NEW,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093703,NEW,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093704,NEW,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093705,NEW,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093706,NEW,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093707,NEW,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093708,NEW,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093709,NEW,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093710,NEW,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093711,NEW,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093712,NEW,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093713,NEW,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093714,NEW,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093715,NEW,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093716,NEW,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093717,NEW,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093718,NEW,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093719,NEW,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093720,NEW,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093721,NEW,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093722,NEW,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093723,NEW,"team,side,line,water,grade,ev_mean,ev_p10,p_ev_positive,status",,,,圣罗伦索体育会后备队,,receiving,,2.5,,0.84,,A,,0.5054545454545454,team;side;line;water;grade;ev_mean;ev_p10;p_ev_positive;status
V4_SHADOW,3093724,NEW,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093725,NEW,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093989,NEW,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093990,NEW,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093991,NEW,status,,,,,,,,,,,,,,,status
