日期,国家,层级,赛事,比赛,比分,状态,盘口档位,候选标签,赛事级样本,赛事级正向胜率,赛事级反向胜率,赛事级胜率高方,盘口标签样本,盘口标签正向胜率,盘口标签反向胜率,盘口标签胜率高方,HTML最终方向,HTML正期望方球队,HTML选中胜率,HTML选中水位,水位阈值,HTML是否可投,HTML原因
2026-08-26,英格兰,杯赛,英联杯,普雷斯顿 vs 埃弗顿,普雷斯顿0-4埃弗顿,已结算,一球,平衡盘/等待临场确认,11,50.0%,50.0%,正向,0,,,不投,正向,埃弗顿,50.0%,0.93,53.8%,不投,赛前历史胜率50.0%低于水位阈值53.8%
2026-08-26,西班牙,顶级,西甲,皇家马德里 vs 皇家社会,皇家马德里4-1皇家社会,已结算,球半,诱上/阻下,3,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-27,英格兰,杯赛,英联杯,切尔西 vs 卢顿,切尔西2-0卢顿,已结算,两球/两球半,真实示强/阻上,12,54.5%,45.5%,正向,0,,,不投,正向,切尔西,54.5%,1.05,50.8%,可投,通过:54.5% >= 50.8%
2026-08-27,西班牙,顶级,西甲,塞尔塔 vs 奥萨苏纳,塞尔塔1-2奥萨苏纳,已结算,半球,平衡盘/等待临场确认,5,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-27,法国,次次级,法丙,卡昂 vs 巴斯蒂亚,卡昂0-1巴斯蒂亚,已结算,平手/半球,诱上/阻下,0,,,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-27,英格兰,杯赛,英联杯,富勒姆 vs AFC温布尔登,富勒姆3-0AFC温布尔登,已结算,两球,平衡盘/等待临场确认,13,50.0%,45.8%,正向,0,,,不投,正向,AFC温布尔登,50.0%,1.11,49.4%,可投,通过:50.0% >= 49.4%
2026-08-27,西班牙,顶级,西甲,巴塞罗那 vs 毕尔巴鄂竞技,巴塞罗那2-0毕尔巴鄂竞技,已结算,球半/两球,真实示强/阻上,4,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-28,德国,次级,德乙,布伦瑞克 vs 柏林赫塔,布伦瑞克3-5柏林赫塔,已结算,平手/半球,阻上/诱下,0,,,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-28,德国,次级,德乙,波鸿 vs 奥斯纳布鲁克,波鸿0-1奥斯纳布鲁克,已结算,半球/一球,平衡盘/等待临场确认,0,,,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-28,西班牙,次次级,西协甲,皇家阿维勒斯 vs 庞特贝德拉,皇家阿维勒斯0-1庞特贝德拉,已结算,平手,阻上/降温保护,1,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-28,西班牙,顶级,西甲,桑坦德竞技 vs 埃尔切,桑坦德竞技3-2埃尔切,已结算,半球,阻上/诱下,5,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-28,法国,次级,法乙,克莱蒙 vs 索肖,克莱蒙0-0索肖,已结算,平手,阻上/降温保护,0,,,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-28,法国,次级,法乙,南锡 vs USL敦刻尔克,南锡2-0USL敦刻尔克,已结算,平手,阻下/上盘保护,1,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-28,法国,次级,法乙,拉瓦勒 vs 格勒诺布尔,拉瓦勒0-3格勒诺布尔,已结算,平手/半球,阻下/上盘保护,0,,,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-28,法国,次级,法乙,罗德兹 vs 波城,罗德兹2-2波城,已结算,半球/一球,阻上/降温保护,2,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-28,法国,次级,法乙,蒙彼利埃 vs 布洛涅,蒙彼利埃0-0布洛涅,已结算,半球/一球,阻上/降温保护,1,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-28,德国,顶级,德甲,拜仁慕尼黑 vs 斯图加特,拜仁慕尼黑5-1斯图加特,已结算,两球/两球半,阻上/诱下,0,,,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-28,意大利,次级,意乙,克雷莫纳 vs 摩德纳,克雷莫纳0-3摩德纳,已结算,平手/半球,降温保护/诱下,0,,,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-28,意大利,顶级,意甲,AC米兰 vs 威尼斯,AC米兰2-0威尼斯,已结算,一球,降温保护/诱下,2,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-28,意大利,次次级,意丙,卡维塞 vs 切里尼奥拉,卡维塞3-1切里尼奥拉,已结算,平手,平衡盘/等待临场确认,6,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
