日期,赛事,比赛分类,比赛,赛果,比分来源,模拟ID,市场框架,即时亚盘,盘口线,盘口档位,上盘方,候选标签,候选依据,候选映射方向,意图水位,意图结算,意图盈亏单位,意图均注盈亏,反向方向,反向水位,反向结算,反向盈亏单位,反向均注盈亏,有真实投注量,Polymarket/交易所情绪,流动性,开赛时间,比赛ID,赛事原始,国家,层级,五大地区筛选,是否有效亚盘结算
2026-08-24,意丙,成年联赛T3,利沃诺 vs 托里斯,2-1,ledger赛果兜底,20260824-TITAN-3050885-盘口快照-不形成模拟,盘口快照-不形成模拟,0.89/0.25/0.93,0.25,平手/半球,主队,平衡盘/等待临场确认,主队上盘，让球基本稳定，上盘水位0.89，下盘水位0.93，欧赔支持上盘,不计-平衡/无方向,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,3050885,意丙,意大利,次次级,是,False
2026-08-24,意丙,成年联赛T3,雷吉亚纳 vs 拉维纳,1-1,ledger赛果兜底,20260824-TITAN-3050888-盘口快照-不形成模拟,盘口快照-不形成模拟,0.75/0.25/1.07,0.25,平手/半球,主队,诱上/阻下,主队上盘，让球基本稳定，上盘水位0.75，下盘水位1.07，欧赔支持上盘,下盘,1.07,赢半,0.5,0.535,上盘,0.75,输半,-0.5,-0.5,否,缺失,Titan价格流；PM/必发/BTTS缺,,3050888,意丙,意大利,次次级,是,True
2026-08-24,意丙,成年联赛T3,阿尔塔穆拉 vs 摩诺波利,1-0,ledger赛果兜底,20260824-TITAN-3051261-盘口快照-不形成模拟,盘口快照-不形成模拟,0.99/-0.25/0.83,-0.25,平手/半球,客队,诱上/阻下,客队上盘，让球基本稳定，上盘水位0.83，下盘水位0.99，欧赔支持上盘,下盘,0.99,赢,1.0,0.99,上盘,0.83,输,-1.0,-1.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,3051261,意丙,意大利,次次级,是,True
2026-08-24,意丙,成年联赛T3,克罗托内 vs 福贾,0-1,ledger赛果兜底,20260824-TITAN-3051266-盘口快照-不形成模拟,盘口快照-不形成模拟,0.85/0.25/0.97,0.25,平手/半球,主队,真实示弱/阻下,主队上盘，让球退盘，上盘水位0.85，下盘水位0.97，欧赔削弱上盘,下盘,0.97,赢,1.0,0.97,上盘,0.85,输,-1.0,-1.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,3051266,意丙,意大利,次次级,是,True
2026-08-24,意丙,成年联赛T3,萨勒尼塔纳 vs 索伦托卡西奥,1-2,ledger赛果兜底,20260824-TITAN-3051270-盘口快照-不形成模拟,盘口快照-不形成模拟,0.83/1.0/0.99,1.0,一球,主队,诱上/阻下,主队上盘，让球基本稳定，上盘水位0.83，下盘水位0.99，欧赔变化不大,下盘,0.99,赢,1.0,0.99,上盘,0.83,输,-1.0,-1.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,3051270,意丙,意大利,次次级,是,True
2026-08-25,西甲,成年联赛T1,巴伦西亚 vs 皇家贝蒂斯,0-1,ledger赛果兜底,20260825-TITAN-3013651-盘口快照-不形成模拟,盘口快照-不形成模拟,1.06/0.0/0.83,0.0,平手,客队,诱上/阻下,客队上盘，让球基本稳定，上盘水位0.83，下盘水位1.06，欧赔变化不大,下盘,1.06,输,-1.0,-1.0,上盘,0.83,赢,1.0,0.83,否,缺失,Titan价格流；PM/必发/BTTS缺,,3013651,西甲,西班牙,顶级,是,True
2026-08-25,英联杯,国内杯赛,巴恩斯利 vs 克鲁,3-2,ledger赛果兜底,20260825-TITAN-3062759-盘口快照-不形成模拟,盘口快照-不形成模拟,1.03/1.0/0.79,1.0,一球,主队,阻上/降温保护,主队上盘，让球基本稳定，上盘水位1.03，下盘水位0.79，欧赔变化不大,不计-候选冲突,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,3062759,英联杯,英格兰,杯赛,是,False
2026-08-25,英联杯,国内杯赛,伯明翰 vs 布伦特福德,1-6,ledger赛果兜底,20260825-TITAN-3062760-盘口快照-不形成模拟,盘口快照-不形成模拟,1.0/-0.5/0.82,-0.5,半球,客队,诱上/阻下,客队上盘，让球基本稳定，上盘水位0.82，下盘水位1.00，欧赔变化不大,下盘,1.0,输,-1.0,-1.0,上盘,0.82,赢,1.0,0.82,否,缺失,Titan价格流；PM/必发/BTTS缺,,3062760,英联杯,英格兰,杯赛,是,True
2026-08-25,英联杯,国内杯赛,布莱克本 vs 谢菲尔德联队,1-2,ledger赛果兜底,20260825-TITAN-3062761-盘口快照-不形成模拟,盘口快照-不形成模拟,0.93/0.0/0.89,0.0,平手,客队,平衡盘/等待临场确认,客队上盘，让球基本稳定，上盘水位0.89，下盘水位0.93，欧赔变化不大,不计-平衡/无方向,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,3062761,英联杯,英格兰,杯赛,是,False
2026-08-25,英联杯,国内杯赛,布莱克浦 vs 林肯城,1-4,ledger赛果兜底,20260825-TITAN-3062762-盘口快照-不形成模拟,盘口快照-不形成模拟,0.83/-0.5/0.99,-0.5,半球,客队,诱下/上盘降温,客队上盘，让球基本稳定，上盘水位0.99，下盘水位0.83，欧赔变化不大,上盘,0.99,赢,1.0,0.99,下盘,0.83,输,-1.0,-1.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,3062762,英联杯,英格兰,杯赛,是,True
2026-08-25,英联杯,国内杯赛,剑桥联 vs 米尔沃尔,0-1,ledger赛果兜底,20260825-TITAN-3062764-盘口快照-不形成模拟,盘口快照-不形成模拟,0.88/-0.25/0.94,-0.25,平手/半球,客队,平衡盘/等待临场确认,客队上盘，让球基本稳定，上盘水位0.94，下盘水位0.88，欧赔削弱上盘,不计-平衡/无方向,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,3062764,英联杯,英格兰,杯赛,是,False
2026-08-25,英联杯,国内杯赛,卡迪夫城 vs 诺维奇,1-2,ledger赛果兜底,20260825-TITAN-3062765-盘口快照-不形成模拟,盘口快照-不形成模拟,0.84/-0.25/0.98,-0.25,平手/半球,客队,诱下/上盘降温,客队上盘，让球基本稳定，上盘水位0.98，下盘水位0.84，欧赔支持上盘,上盘,0.98,赢,1.0,0.98,下盘,0.84,输,-1.0,-1.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,3062765,英联杯,英格兰,杯赛,是,True
