日期,北京时间,赛事,比赛,状态,比分,盘口档位,候选标签,正向球队,反向球队,上盘球队,下盘球队,正向水位,反向水位,亚盘,欧赔,大小球,微观板块,亚盘已读,欧赔已读,大小球已读,最终动作
2026-09-02,2026-9-3 02:45 北京时间（东8区）,英冠,西布罗姆维奇 vs 查尔顿,未开赛,待赛,半球/一球,阻上/降温保护,西布罗姆维奇,查尔顿,西布罗姆维奇,查尔顿,1.04,0.84,开 1.0/0.75/0.88 → 即 1.04/0.75/0.84,开 1.77/3.59/4.52 → 即 1.73/3.56/4.64,开 0.85/2.25/1.02 → 即 0.78/2.25/1.09,欧洲五大系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-3 02:45 北京时间（东8区）,英甲,伯顿 vs AFC温布尔登,未开赛,待赛,半球,阻上/降温保护,伯顿,AFC温布尔登,伯顿,AFC温布尔登,1.02,0.8,开 1.02/0.5/0.8 → 即 1.02/0.5/0.8,开 1.98/3.29/3.71 → 即 1.99/3.3/3.55,开 0.8/2.25/1.0 → 即 0.99/2.5/0.81,欧洲五大系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-3 02:45 北京时间（东8区）,英甲,卢顿 vs 斯托克港,未开赛,待赛,平手/半球,诱下/上盘降温,卢顿,斯托克港,卢顿,斯托克港,0.98,0.84,开 0.93/0.25/0.89 → 即 0.98/0.25/0.84,开 2.22/3.53/2.92 → 即 2.12/3.53/3.02,开 0.91/2.75/0.89 → 即 0.86/2.75/0.94,欧洲五大系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-3 02:45 北京时间（东8区）,英甲,维冈竞技 vs 米尔顿凯恩斯,未开赛,待赛,平手/半球,阻上/诱下,维冈竞技,米尔顿凯恩斯,维冈竞技,米尔顿凯恩斯,1.04,0.78,开 0.81/0.0/1.01 → 即 1.04/0.25/0.78,开 2.36/3.27/2.86 → 即 2.52/3.24/2.67,开 1.01/2.5/0.79 → 即 1.01/2.5/0.79,欧洲五大系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-3 03:00 北京时间（东8区）,巴拉甲秋,巴拉圭国民 vs 亚松森自由,未开赛,待赛,平手,诱上/阻下,亚松森自由,巴拉圭国民,巴拉圭国民,亚松森自由,1.0,0.76,开 0.79/0.0/1.03 → 即 0.76/0.0/1.0,开 2.48/2.99/2.78 → 即 2.49/2.99/2.77,开 0.99/2.25/0.81 → 即 0.97/2.25/0.79,南美系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-3 03:00 北京时间（东8区）,巴拉甲秋,艾美利亚诺体育 vs 泰里尼登斯,未开赛,待赛,平手,诱下/上盘降温,艾美利亚诺体育,泰里尼登斯,艾美利亚诺体育,泰里尼登斯,0.92,0.84,开 0.91/0.0/0.91 → 即 0.92/0.0/0.84,开 2.65/3.04/2.61 → 即 2.61/2.98/2.64,开 0.99/2.25/0.81 → 即 0.88/2.25/0.88,南美系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-3 03:00 北京时间（东8区）,英冠,伯恩利 vs 米德尔斯堡,未开赛,待赛,平手/半球,阻上/诱下,米德尔斯堡,伯恩利,米德尔斯堡,伯恩利,1.12,0.77,开 0.89/0.0/0.99 → 即 0.77/-0.25/1.12,开 2.73/3.5/2.42 → 即 2.37/3.45/2.82,开 0.91/2.5/0.96 → 即 0.9/2.75/0.97,欧洲五大系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-3 03:00 北京时间（东8区）,英甲,雷丁 vs 曼斯菲尔德,未开赛,待赛,半球,真实示强/阻上,雷丁,曼斯菲尔德,雷丁,曼斯菲尔德,0.98,0.84,开 0.84/0.25/0.98 → 即 0.98/0.5/0.84,开 2.04/3.52/3.29 → 即 2.18/3.36/3.03,开 0.96/2.75/0.84 → 即 0.93/2.75/0.87,欧洲五大系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-3 05:30 北京时间（东8区）,厄瓜甲,库恩卡 vs 瓜亚基尔城,未开赛,待赛,半球,诱上/阻下,瓜亚基尔城,库恩卡,库恩卡,瓜亚基尔城,0.96,0.8,开 0.83/0.5/0.99 → 即 0.8/0.5/0.96,开 1.78/3.31/4.38 → 即 1.77/3.27/4.35,开 0.97/2.25/0.83 → 即 0.95/2.25/0.81,南美系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-3 05:30 北京时间（东8区）,巴拉甲秋,亚松森奥林匹亚 vs 亚松森瓜拉尼,未开赛,待赛,半球/一球,诱下/上盘降温,亚松森奥林匹亚,亚松森瓜拉尼,亚松森奥林匹亚,亚松森瓜拉尼,0.93,0.83,开 0.96/0.75/0.86 → 即 0.93/0.75/0.83,开 1.7/3.5/4.49 → 即 1.69/3.52/4.51,开 0.99/2.5/0.81 → 即 0.97/2.5/0.79,南美系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-3 06:00 北京时间（东8区）,智利甲,科金博 vs 康塞普西翁大学,未开赛,待赛,一球,降温保护/诱下,科金博,康塞普西翁大学,科金博,康塞普西翁大学,1.06,0.82,开 0.94/1.25/0.88 → 即 1.06/1.0/0.82,开 1.49/4.12/5.81 → 即 1.44/4.24/6.13,开 0.95/2.75/0.85 → 即 1.08/2.75/0.78,南美系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-3 06:30 北京时间（东8区）,哥伦杯,奎迪奥 vs 拉尼洛斯,未开赛,待赛,平手,诱上/阻下,奎迪奥,拉尼洛斯,拉尼洛斯,奎迪奥,1.0,0.82,开 1.0/0.0/0.82 → 即 1.0/0.0/0.82,开 2.76/2.77/2.68 → 即 2.71/2.9/2.65,开 0.99/2.0/0.81 → 即 0.99/2.0/0.81,南美系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-3 06:30 北京时间（东8区）,巴西甲,弗拉门戈 vs 米拉索,未开赛,待赛,球半/两球,真实示强/阻上,弗拉门戈,米拉索,弗拉门戈,米拉索,0.98,0.9,开 0.88/1.5/1.0 → 即 0.98/1.75/0.9,开 1.27/5.57/10.42 → 即 1.37/4.67/8.23,开 0.82/2.75/1.05 → 即 1.0/3.0/0.87,南美系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-3 08:00 北京时间（东8区）,厄瓜甲,瓜亚基尔巴塞罗那 vs 山谷独立,未开赛,待赛,平手/半球,诱下/上盘降温,山谷独立,瓜亚基尔巴塞罗那,山谷独立,瓜亚基尔巴塞罗那,0.93,0.83,开 0.86/-0.25/0.96 → 即 0.83/-0.25/0.93,开 3.26/3.17/2.12 → 即 3.11/3.09/2.2,开 0.84/2.25/0.96 → 即 0.82/2.25/0.94,南美系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-3 08:30 北京时间（东8区）,巴西杯,桑托斯 vs 帕尔梅拉斯,未开赛,待赛,平手/半球,阻上/降温保护,帕尔梅拉斯,桑托斯,帕尔梅拉斯,桑托斯,1.11,0.78,开 0.88/-0.25/1.0 → 即 0.78/-0.25/1.11,开 2.91/3.2/2.36 → 即 3.23/3.19/2.16,开 1.03/2.5/0.84 → 即 1.03/2.5/0.84,南美系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-3 08:30 北京时间（东8区）,巴西杯,维多利亚 vs 瓦斯科达伽马,未开赛,待赛,平手/半球,阻上/降温保护,维多利亚,瓦斯科达伽马,维多利亚,瓦斯科达伽马,1.03,0.85,开 0.98/0.25/0.9 → 即 1.03/0.25/0.85,开 2.25/3.14/3.16 → 即 2.2/3.12/3.2,开 1.06/2.25/0.81 → 即 1.06/2.25/0.81,南美系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-3 08:30 北京时间（东8区）,智利甲,利马切颜色 vs 奴伯伦斯,未开赛,待赛,平手/半球,阻上/降温保护,利马切颜色,奴伯伦斯,利马切颜色,奴伯伦斯,1.04,0.84,开 1.04/0.25/0.84 → 即 1.04/0.25/0.84,开 2.24/3.39/2.87 → 即 2.22/3.36/2.94,开 1.03/2.75/0.83 → 即 1.03/2.75/0.83,南美系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-3 09:00 北京时间（东8区）,中北美杯,托卢卡 vs 莱昂,未开赛,待赛,半球/一球,阻上/降温保护,托卢卡,莱昂,托卢卡,莱昂,1.05,0.83,开 1.05/0.75/0.83 → 即 1.05/0.75/0.83,开 1.78/3.67/4.06 → 即 1.91/3.59/3.53,开 0.84/2.75/1.03 → 即 0.87/2.75/1.0,其他系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-3 09:25 北京时间（东8区）,哥伦甲秋,圣塔菲 vs 百万富翁,未开赛,待赛,平手/半球,阻上/诱下,百万富翁,圣塔菲,百万富翁,圣塔菲,1.09,0.79,开 1.05/0.0/0.83 → 即 0.79/-0.25/1.09,开 2.74/3.16/2.43 → 即 2.89/3.15/2.35,开 0.92/2.25/0.94 → 即 0.92/2.25/0.94,南美系列,True,True,True,仅模拟/非主单
