分组类型,分组,已结算投注数,胜率,负率,盈亏Unit,ROI,红,红半,走水,黑半,黑
微观板块+盘口档位+标签,拉美 / 平手/半球 / 诱下/上盘降温,1,1.0000,0.0000,0.8700,0.8700,1,0,0,0,0
赛事,比甲,1,1.0000,0.0000,0.8600,0.8600,1,0,0,0,0
盘口档位+标签,一球 / 阻下/下盘保护,1,1.0000,0.0000,0.8600,0.8600,1,0,0,0,0
赛事+标签,比甲 / 阻下/下盘保护,1,1.0000,0.0000,0.8600,0.8600,1,0,0,0,0
微观板块+盘口档位+标签,欧洲非五大 / 一球 / 阻下/下盘保护,1,1.0000,0.0000,0.8600,0.8600,1,0,0,0,0
赛事,西甲,2,1.0000,0.0000,0.8450,0.5782,1,1,0,0,0
赛事+标签,西甲 / 诱上/阻下,2,1.0000,0.0000,0.8450,0.5782,1,1,0,0,0
赛事,瑞典杯,1,1.0000,0.0000,0.8400,0.8400,1,0,0,0,0
赛事+标签,瑞典杯 / 诱上/阻下,1,1.0000,0.0000,0.8400,0.8400,1,0,0,0,0
赛事+标签,德乙 / 降温保护/诱下,1,1.0000,0.0000,0.8400,0.8400,1,0,0,0,0
微观板块+盘口档位+标签,欧洲五大 / 平手/半球 / 降温保护/诱下,1,1.0000,0.0000,0.8400,0.8400,1,0,0,0,0
赛事,巴拉杯,1,1.0000,0.0000,0.8200,0.8200,1,0,0,0,0
盘口档位+标签,一球/球半 / 诱上/阻下,1,1.0000,0.0000,0.8200,0.8200,1,0,0,0,0
赛事+标签,巴拉杯 / 诱上/阻下,1,1.0000,0.0000,0.8200,0.8200,1,0,0,0,0
微观板块+盘口档位+标签,欧洲非五大 / 一球/球半 / 诱上/阻下,1,1.0000,0.0000,0.8200,0.8200,1,0,0,0,0
赛事+标签,委内杯 / 诱上/阻下,2,1.0000,0.0000,0.7800,0.3900,1,0,1,0,0
比赛分类+标签,成年联赛T2 / 降温保护/诱下,4,0.5000,0.5000,0.6900,0.2999,2,0,0,0,2
盘口档位+标签,平手/半球 / 阻上/诱下,6,0.5000,0.5000,0.6750,0.1633,3,0,0,2,1
赛事,欧女杯,5,0.6000,0.4000,0.6500,0.2600,3,0,0,1,1
比赛分类+标签,成年联赛T2 / 阻上/诱下,4,0.5000,0.5000,0.6350,0.2653,2,0,0,1,1
微观板块+盘口档位+标签,欧洲非五大 / 平手/半球 / 诱上/阻下,3,0.6667,0.3333,0.6100,0.1477,2,0,0,0,1
微观板块+盘口档位+标签,拉美 / 半球/一球 / 诱上/阻下,2,1.0000,0.0000,0.5950,0.3971,0,2,0,0,0
赛事,挪甲,2,1.0000,0.0000,0.5800,0.5800,1,1,0,0,0
赛事+标签,挪甲 / 诱上/阻下,2,1.0000,0.0000,0.5800,0.5800,1,1,0,0,0
赛事+标签,德乙 / 阻上/诱下,1,1.0000,0.0000,0.5550,1.1100,1,0,0,0,0
赛事,荷甲,1,1.0000,0.0000,0.5400,1.0800,1,0,0,0,0
赛事+标签,荷甲 / 阻上/诱下,1,1.0000,0.0000,0.5400,1.0800,1,0,0,0,0
微观板块+盘口档位+标签,欧洲非五大 / 平手/半球 / 阻上/诱下,1,1.0000,0.0000,0.5400,1.0800,1,0,0,0,0
赛事+标签,乌拉杯 / 诱上/阻下,3,0.6667,0.3333,0.5300,0.1767,2,0,0,0,1
赛事,德甲,1,1.0000,0.0000,0.5150,1.0300,1,0,0,0,0
盘口档位+标签,两球/两球半 / 阻上/诱下,1,1.0000,0.0000,0.5150,1.0300,1,0,0,0,0
赛事+标签,德甲 / 阻上/诱下,1,1.0000,0.0000,0.5150,1.0300,1,0,0,0,0
微观板块+盘口档位+标签,欧洲五大 / 两球/两球半 / 阻上/诱下,1,1.0000,0.0000,0.5150,1.0300,1,0,0,0,0
赛事+标签,俄甲 / 诱下/上盘降温,1,1.0000,0.0000,0.5000,1.0000,1,0,0,0,0
盘口档位+标签,两球/两球半 / 诱下/上盘降温,1,1.0000,0.0000,0.4800,0.9600,1,0,0,0,0
微观板块+盘口档位+标签,欧洲非五大 / 两球/两球半 / 诱下/上盘降温,1,1.0000,0.0000,0.4800,0.9600,1,0,0,0,0
盘口档位+标签,球半 / 诱下/上盘降温,1,1.0000,0.0000,0.4700,0.9400,1,0,0,0,0
微观板块+盘口档位+标签,欧洲非五大 / 球半 / 诱下/上盘降温,1,1.0000,0.0000,0.4700,0.9400,1,0,0,0,0
盘口档位+标签,半球/一球 / 诱下/上盘降温,1,1.0000,0.0000,0.4650,0.4650,0,1,0,0,0
微观板块+盘口档位+标签,拉美 / 半球/一球 / 诱下/上盘降温,1,1.0000,0.0000,0.4650,0.4650,0,1,0,0,0
微观板块+盘口档位+标签,欧洲非五大 / 半球 / 诱下/上盘降温,1,1.0000,0.0000,0.4500,0.9000,1,0,0,0,0
赛事,葡超,1,1.0000,0.0000,0.4300,0.8600,1,0,0,0,0
盘口档位+标签,平手/半球 / 阻下/下盘保护,1,1.0000,0.0000,0.4300,0.8600,1,0,0,0,0
赛事+标签,葡超 / 阻下/下盘保护,1,1.0000,0.0000,0.4300,0.8600,1,0,0,0,0
微观板块+盘口档位+标签,欧洲非五大 / 平手/半球 / 阻下/下盘保护,1,1.0000,0.0000,0.4300,0.8600,1,0,0,0,0
盘口档位+标签,球半 / 诱上/阻下,1,1.0000,0.0000,0.4250,0.8500,1,0,0,0,0
赛事+标签,法乙 / 诱上/阻下,1,1.0000,0.0000,0.4250,0.4250,0,1,0,0,0
微观板块+盘口档位+标签,欧洲五大 / 球半 / 诱上/阻下,1,1.0000,0.0000,0.4250,0.8500,1,0,0,0,0
盘口档位,两球半/三球,1,1.0000,0.0000,0.4200,0.4200,0,1,0,0,0
