统计日期,数据源,地区,国家,赛事层级,水位分层,样本,红,红半,走水,黑半,黑,有效胜率,负率,均注盈亏Unit,平均水位,ROI,备注
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲非五大,丹麦,非顶级联赛,0.71-0.80,1,0,0,0,0,1,0.0000,1.0000,-1.0000,0.8000,-1.0000,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲非五大,丹麦,非顶级联赛,1.01-1.10,1,0,0,0,0,1,0.0000,1.0000,-0.5000,1.0100,-1.0000,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲非五大,俄罗斯,非顶级联赛,0.71-0.80,1,0,0,0,0,1,0.0000,1.0000,-1.0000,0.7800,-1.0000,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲非五大,俄罗斯,非顶级联赛,0.91-1.00,1,1,0,0,0,0,1.0000,0.0000,0.5000,1.0000,1.0000,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲非五大,俄罗斯,顶级联赛,0.81-0.90,1,0,0,0,0,1,0.0000,1.0000,-1.0000,0.8300,-1.0000,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲非五大,冰岛,非顶级联赛,0.81-0.90,2,0,1,0,0,1,0.3333,0.6667,-0.2900,0.8250,-0.2900,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲非五大,挪威,非顶级联赛,0.81-0.90,1,1,0,0,0,0,1.0000,0.0000,0.4050,0.8100,0.8100,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲非五大,挪威,非顶级联赛,<=0.70,1,0,1,0,0,0,1.0000,0.0000,0.1750,0.7000,0.3500,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲非五大,捷克,非顶级联赛,0.71-0.80,3,0,0,0,0,3,0.0000,1.0000,-2.0000,0.7733,-1.0000,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲非五大,捷克,非顶级联赛,0.81-0.90,1,1,0,0,0,0,1.0000,0.0000,0.8500,0.8500,0.8500,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲非五大,捷克,顶级联赛,0.81-0.90,1,0,1,0,0,0,1.0000,0.0000,0.2025,0.8100,0.4050,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲非五大,捷克,顶级联赛,0.91-1.00,1,0,0,0,1,0,0.0000,1.0000,-0.2500,0.9800,-0.5000,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲非五大,未识别,杯赛,0.71-0.80,1,0,0,0,0,1,0.0000,1.0000,-0.5000,0.8000,-1.0000,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲非五大,未识别,杯赛,0.81-0.90,1,1,0,0,0,0,1.0000,0.0000,0.4500,0.9000,0.9000,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
