统计日期,数据源,日期,开赛时间,比赛ID,赛事,比赛,比赛分类,微观板块,国家,赛事层级,盘口,水位分层,倾向意图,阻诱目标侧,理论资金主队占比,理论资金客队占比,实际资金主队占比,实际资金客队占比,资金偏离主队,资金偏离客队,资金过热侧,过热阈值,理论占比依据,实际资金流向,目标侧水位甜头,意图成败,资金流修正方向,资金流修正球队,资金流来源,资金流时间戳,动作,选择方向,投注盘向,投注球队,选中水位,综合胜率,盈亏平衡胜率,通过阈值,同档样本,同档选中胜率,风控状态,仓位系数,下注金额,已结算,结算标签,实际盈亏Unit,实际盈亏金额,赛果,比分来源,即时亚盘,盘口线,上盘方,候选映射方向,反向方向,候选依据,原模拟ID,记录口径
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-25,2026-8-26 00:05,3046951,沙特联,艾卜哈 vs 塞哈特海湾,,西亚/中亚系列,沙特,未知分类,平手,0.81-0.90,降温保护/诱下,,,,,,,,,,,,,,,,,,正向,,平手/待核,艾卜哈,0.9,0.591,,0.5463157894736842,,,,,,是,走水,0.0,,1-1,原页面赛果留底,开 0.82/-0.25/1.0 → 即 0.9/0.0/0.98,-0.0,,,,,20260825-TITAN-3046951-盘口快照-不形成模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-25,2026-8-26 00:10,3046952,沙特联,布赖代合作 vs 费哈,,西亚/中亚系列,沙特,未知分类,半球/一球,0.71-0.80,降温保护/诱下,,,,,,,,,,,,,,,,,,正向,,上盘,布赖代合作,0.76,0.591,,0.5881818181818183,,,,,,是,黑,-1.0,,0-0,原页面赛果留底,开 0.99/1.0/0.83 → 即 0.76/0.75/1.13,-0.75,,,,,20260825-TITAN-3046952-盘口快照-不形成模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-25,2026-8-26 01:30,3041160,南非超,西维勒 vs 茨普帕,,其他系列,南非,未知分类,半球,0.81-0.90,诱上/阻下,,,,,,,,,,,,,,,,,,反向,,上盘,西维勒,0.81,0.575,,0.5724861878453039,,,,,,是,黑,-1.0,,1-1,原页面赛果留底,开 0.74/0.5/0.96 → 即 0.81/0.5/1.01,-0.5,,,,,20260825-TITAN-3041160-盘口快照-不形成模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-25,2026-8-26 02:00,2934767,阿乙曼特秋,圣马丁布萨科 vs 基尔梅斯阿根廷,,南美系列,阿根廷,未知分类,平手/半球,0.91-1.00,真实示强/阻上,,,,,,,,,,,,,,,,,,正向,,上盘,圣马丁布萨科,0.95,0.539,,0.5328205128205129,,,,,,是,红,0.95,,3-2,原页面赛果留底,开 0.72/0.0/0.98 → 即 0.95/0.25/0.75,-0.25,,,,,20260825-TITAN-2934767-盘口快照-不形成模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-25,2026-8-26 02:00,2934771,阿乙曼特秋,维拉圣卡罗斯 vs 弗朗德里亚,,南美系列,阿根廷,未知分类,平手/半球,0.81-0.90,诱上/阻下,,,,,,,,,,,,,,,,,,反向,,上盘,维拉圣卡罗斯,0.84,0.569,,0.5634782608695653,,,,,,是,红,0.84,,3-2,原页面赛果留底,开 0.92/0.25/0.78 → 即 0.84/0.25/0.86,-0.25,,,,,20260825-TITAN-2934771-盘口快照-不形成模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-25,2026-8-26 02:00,2934770,阿乙曼特秋,维拉多尔米尼 vs 埃斯卡拉达,,南美系列,阿根廷,未知分类,平手,0.81-0.90,诱上/阻下,,,,,,,,,,,,,,,,,,反向,,平手/待核,维拉多尔米尼,0.83,0.569,,0.566448087431694,,,,,,是,走水,0.0,,0-0,原页面赛果留底,开 0.84/0.0/0.86 → 即 0.83/0.0/0.87,-0.0,,,,,20260825-TITAN-2934770-盘口快照-不形成模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-25,2026-8-26 02:00,2934761,阿乙曼特秋,萨兰迪兵工厂 vs 意杜萨高,,南美系列,阿根廷,未知分类,一球/球半,0.91-1.00,诱下/上盘降温,,,,,,,,,,,,,,,,,,正向,,上盘,萨兰迪兵工厂,0.95,0.547,,0.5328205128205129,,,,,,是,红,0.95,,2-0,原页面赛果留底,开 0.92/1.25/0.78 → 即 0.95/1.25/0.75,-1.25,,,,,20260825-TITAN-2934761-盘口快照-不形成模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-25,2026-8-26 02:45,3062781,英联杯,普利茅斯 vs 考文垂,,欧洲五大系列,英格兰,杯赛,一球/球半,1.01-1.10,阻上/诱下,,,,,,,,,,,,,,,,,,正向,,上盘,考文垂,1.04,0.5556,,0.5101960784313725,,,,,,是,红,1.04,,2-4,原页面赛果留底,开 0.94/-0.75/0.88 → 即 0.84/-1.25/1.04,-1.25,,,,,20260825-TITAN-3062781-盘口快照-不形成模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-25,2026-8-26 02:45,3062779,英联杯,沃尔索尔 vs 莱顿东方,,欧洲五大系列,英格兰,杯赛,平手,0.91-1.00,真实示弱/阻下,,,,,,,,,,,,,,,,,,正向,,平手/待核,沃尔索尔,0.96,0.625,,0.5302040816326531,,,,,,是,走水,0.0,,0-0,原页面赛果留底,开 0.93/-0.25/0.89 → 即 0.96/0.0/0.92,-0.0,,,,,20260825-TITAN-3062779-盘口快照-不形成模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
2026-09-08,strict_update_20260908_072939/dashboard/index.html,2026-08-25,2026-8-26 02:45,3062780,英联杯,沃特福德 vs 彼得堡联,,欧洲五大系列,英格兰,杯赛,平手/半球,0.81-0.90,真实示弱/阻下,,,,,,,,,,,,,,,,,,正向,,下盘,彼得堡联,0.86,0.625,,0.5576344086021506,,,,,,是,红,0.86,,1-5,原页面赛果留底,开 0.87/1.0/0.95 → 即 1.02/0.25/0.86,0.25,,,,,20260825-TITAN-3062780-盘口快照-不形成模拟,原页面冻结计划；同比赛同队同盘去重；均注模拟非真实成交
