分组类型,分组,样本,正向红,正向红半,正向走水,正向黑半,正向黑,正向有效胜率,正向均注盈亏Unit,反向红,反向红半,反向走水,反向黑半,反向黑,反向有效胜率,反向均注盈亏Unit,读法
按比赛分类+标签,国内杯赛/诱下/上盘降温,2,1,0,0,0,1,50.0%,-0.140,1,0,0,0,1,50.0%,-0.240,小样本观察
按比赛分类+标签,成年联赛T1/阻下/下盘保护,2,1,0,0,0,1,50.0%,+0.040,1,0,0,0,1,50.0%,-0.140,小样本观察
按比赛分类+标签,成年联赛T2/诱下/上盘降温,2,1,0,0,0,1,50.0%,-0.140,1,0,0,0,1,50.0%,-0.230,小样本观察
按比赛分类+标签,成年联赛T2/阻下/下盘保护,2,0,0,1,0,1,0.0%,-1.000,1,0,1,0,0,100.0%,+0.850,小样本观察
按比赛分类+标签,未知分类/降温保护/诱下,2,2,0,0,0,0,100.0%,+1.830,0,0,0,0,2,0.0%,-2.000,小样本观察
按比赛分类+标签,国内杯赛/真实示强/阻上,1,1,0,0,0,0,100.0%,+0.920,0,0,0,0,1,0.0%,-1.000,小样本观察
按比赛分类+标签,国内杯赛/降温保护/诱下,1,0,1,0,0,0,100.0%,+0.490,0,0,0,1,0,0.0%,-0.500,小样本观察
按比赛分类+标签,成年联赛T3/阻下/下盘保护,1,0,0,0,0,1,0.0%,-1.000,1,0,0,0,0,100.0%,+0.850,小样本观察
按比赛分类+标签,未知分类/真实示强/阻上,1,0,1,0,0,0,100.0%,+0.495,0,0,0,1,0,0.0%,-0.500,小样本观察
按比赛分类+标签,未知分类/阻上/诱下,1,0,0,0,1,0,0.0%,-0.500,0,1,0,0,0,100.0%,+0.370,小样本观察
按比赛分类+标签,未知分类/阻下/下盘保护,1,1,0,0,0,0,100.0%,+1.020,0,0,0,0,1,0.0%,-1.000,小样本观察
