统计日期,数据源,日期,开赛时间,比赛ID,赛事,比赛,比赛分类,微观板块,国家,赛事层级,盘口,水位分层,倾向意图,动作,选择方向,投注盘向,投注球队,选中水位,综合胜率,盈亏平衡胜率,通过阈值,同档样本,同档选中胜率,风控状态,仓位系数,下注金额,已结算,结算标签,实际盈亏Unit,实际盈亏金额,赛果,比分来源,即时亚盘,盘口线,上盘方,候选映射方向,反向方向,候选依据
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3071637-盘口快照-不形成模拟,乌拉杯,佩莱扎 vs 塞罗拉尔戈,国内杯赛,拉美,乌拉圭,杯赛,平手,0.71-0.80,诱上/阻下,反向,反向,上盘,佩莱扎,0.7200,0.6522,0.5814,0.6014,21.0,0.7692,状态A-正常态,1.0000,4.7100,是,红,0.7200,3.3912,2-1,ledger赛果兜底,0.72/0.0/0.98,0.0,主队,下盘,上盘,主队上盘，让球基本稳定，上盘水位0.72，下盘水位0.98，欧赔变化不大
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3071648-盘口快照-不形成模拟,乌拉杯,尤文提度 vs 奥瑞多拉巴斯,国内杯赛,拉美,乌拉圭,杯赛,半球/一球,0.91-1.00,诱下/上盘降温,正向,正向,上盘,尤文提度,0.9300,0.6222,0.5181,0.5381,4.0,0.5000,状态A-正常态,1.0000,4.7100,是,红半,0.4650,2.1902,1-0,ledger赛果兜底,0.93/0.75/0.77,0.75,主队,上盘,下盘,主队上盘，让球基本稳定，上盘水位0.93，下盘水位0.77，欧赔变化不大
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3071654-盘口快照-不形成模拟,乌拉杯,普罗格雷索俱乐部 vs 蒙得维的亚河床,国内杯赛,拉美,乌拉圭,杯赛,平手,0.71-0.80,诱上/阻下,反向,反向,上盘,普罗格雷索俱乐部,0.7300,0.6611,0.5780,0.598,22.0,0.7857,状态A-正常态,1.0000,4.7100,是,黑,-1.0000,-4.7100,0-2,ledger赛果兜底,0.73/0.0/0.97,0.0,主队,下盘,上盘,主队上盘，让球基本稳定，上盘水位0.73，下盘水位0.97，欧赔变化不大
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3004385-盘口快照-不形成模拟,瑞典杯,胡斯华纳 vs 哥德堡盖斯,国内杯赛,欧洲非五大,瑞典,杯赛,球半/两球,0.81-0.90,诱上/阻下,反向,反向,上盘,哥德堡盖斯,0.8400,0.6264,0.5435,0.5635,5.0,0.8000,状态A-正常态,1.0000,5.7568,是,红,0.8400,4.8357,0-7,ledger赛果兜底,0.98/-1.75/0.84,-1.75,客队,下盘,上盘,客队上盘，让球基本稳定，上盘水位0.84，下盘水位0.98，欧赔变化不大
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3019974-盘口快照-不形成模拟,法丙,卡昂 vs 巴斯蒂亚,成年联赛T3,欧洲五大,法国,非顶级联赛,平手/半球,0.71-0.80,诱上/阻下,反向,反向,上盘,卡昂,0.7800,0.6145,0.5618,0.5818,16.0,0.4375,状态A-正常态,1.0000,5.7568,是,黑,-1.0000,-5.7568,0-1,ledger赛果兜底,0.78/0.25/1.08,0.25,主队,下盘,上盘,主队上盘，让球加深，上盘水位0.78，下盘水位1.08，欧赔削弱上盘
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3061709-盘口快照-不形成模拟,丹麦杯,瓦埃勒 vs 锡尔克堡,国内杯赛,欧洲非五大,丹麦,杯赛,平手/半球,0.71-0.80,诱上/阻下,反向,反向,上盘,瓦埃勒,0.7800,0.6315,0.5618,0.5818,17.0,0.4118,状态A-正常态,1.0000,5.7568,是,红,0.7800,4.4903,3-0,ledger赛果兜底,0.78/0.25/1.04,0.25,主队,下盘,上盘,主队上盘，让球基本稳定，上盘水位0.78，下盘水位1.04，欧赔削弱上盘
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3061724-盘口快照-不形成模拟,巴拉杯,瓜伊利纳 vs 奥杜巴雷,国内杯赛,拉美,未识别,杯赛,半球,0.81-0.90,诱上/阻下,反向,反向,上盘,瓜伊利纳,0.8200,0.6529,0.5495,0.5695,8.0,0.7500,状态A-正常态,1.0000,5.7568,是,红,0.8200,4.7206,3-2,ledger赛果兜底,0.82/0.5/1.0,0.5,主队,下盘,上盘,主队上盘，让球基本稳定，上盘水位0.82，下盘水位1.00，欧赔削弱上盘
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3064809-盘口快照-不形成模拟,欧罗巴杯,比尔森胜利 vs 贝尔格莱德红星,洲际杯赛,欧洲非五大,罗马尼亚,洲际杯赛,平手/半球,0.81-0.90,诱上/阻下,反向,反向,上盘,比尔森胜利,0.8300,0.6427,0.5464,0.5664,18.0,0.4444,状态A-正常态,1.0000,5.7568,是,红,0.8300,4.7781,4-1,ledger赛果兜底,0.83/0.25/1.06,0.25,主队,下盘,上盘,主队上盘，让球基本稳定，上盘水位0.83，下盘水位1.06，欧赔削弱上盘
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3064810-盘口快照-不形成模拟,欧罗巴杯,萨尔茨堡 vs 米亚尔比,洲际杯赛,欧洲非五大,罗马尼亚,洲际杯赛,球半/两球,0.81-0.90,诱上/阻下,反向,反向,上盘,萨尔茨堡,0.8200,0.6498,0.5495,0.5695,6.0,0.8333,状态A-正常态,1.0000,5.7568,是,红,0.8200,4.7206,3-0,ledger赛果兜底,0.82/1.75/1.07,1.75,主队,下盘,上盘,主队上盘，让球基本稳定，上盘水位0.82，下盘水位1.07，欧赔变化不大
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3064816-盘口快照-不形成模拟,欧罗巴杯,安德莱赫特 vs 阿拉木图凯拉特,洲际杯赛,欧洲非五大,罗马尼亚,洲际杯赛,一球/球半,0.81-0.90,诱上/阻下,反向,反向,上盘,安德莱赫特,0.8200,0.6566,0.5495,0.5695,1.0,1.0000,状态A-正常态,1.0000,5.7568,是,红,0.8200,4.7206,3-0,ledger赛果兜底,0.82/1.25/1.07,1.25,主队,下盘,上盘,主队上盘，让球基本稳定，上盘水位0.82，下盘水位1.07，欧赔变化不大
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3071655-盘口快照-不形成模拟,乌拉杯,乌拉圭民族 vs 阿尔比恩,国内杯赛,拉美,乌拉圭,杯赛,半球,0.91-1.00,诱下/上盘降温,正向,正向,上盘,乌拉圭民族,0.9200,0.6383,0.5208,0.5408,9.0,0.4444,状态A-正常态,1.0000,5.7568,是,黑,-1.0000,-5.7568,0-0,ledger赛果兜底,0.92/0.5/0.78,0.5,主队,上盘,下盘,主队上盘，让球基本稳定，上盘水位0.92，下盘水位0.78，欧赔变化不大
