统计日期,数据源,地区,国家,赛事层级,盘口,水位分层,倾向意图,样本,红,红半,走水,黑半,黑,有效胜率,负率,均注盈亏Unit,平均水位,ROI,备注
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,南美系列,智利,杯赛,球半/两球,0.91-1.00,真实示强/阻上,1,1,0,0,0,0,1.0,0.0,0.93,0.93,0.93,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,南美系列,哥伦比亚,未知分类,一球,0.91-1.00,真实示强/阻上,1,0,0,1,0,0,,,0.0,0.96,0.0,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,北美系列,美国,未知分类,平手/半球,1.01-1.10,阻上/诱下,1,1,0,0,0,0,1.0,0.0,1.09,1.09,1.09,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,其他系列,中国,杯赛,平手/半球,>1.10,降温保护/诱下,1,1,0,0,0,0,1.0,0.0,7.69,7.69,7.69,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,西亚/中亚系列,哈萨克斯坦,未知分类,平手/半球,>1.10,降温保护/诱下,1,1,0,0,0,0,1.0,0.0,2.7,2.7,2.7,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,日韩系列,韩国,未知分类,平手,0.81-0.90,降温保护/诱下,1,1,0,0,0,0,1.0,0.0,0.81,0.81,0.81,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,其他系列,澳大利亚,未知分类,半球,1.01-1.10,降温保护/诱下,1,0,0,0,0,1,0.0,1.0,-1.0,1.05,-1.0,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,其他系列,澳大利亚,未知分类,球半/两球,0.81-0.90,诱上/阻下,1,1,0,0,0,0,1.0,0.0,0.81,0.81,0.81,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,其他系列,澳大利亚,未知分类,一球/球半,>1.10,阻上/诱下,1,0,0,0,0,1,0.0,1.0,-1.0,1.12,-1.0,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,其他系列,澳大利亚,未知分类,平手/半球,0.91-1.00,降温保护/诱下,1,1,0,0,0,0,1.0,0.0,0.91,0.91,0.91,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
