match_id,list_date,side,team,market_side,signed_handicap,water,W,HW,P,HL,L,EV_mean,EV_p10,P_EV_gt_0,mirror_status,real_money,diagnostic_only,status
3003895,2026-09-20,receiving,桑德兰,受让方/下盘,1.5,0.92,0.0,0.0,0.0,0.0,0.0,-0.21999999999999997,-0.43244457236297856,0.0908,W↔L;HW↔HL;P↔P,False,True,COMPUTED
2993799,2026-09-20,giving,科莫,让球方/上盘,1.25,1.05,0.0,0.0,0.0,0.0,0.0,0.031132075471698106,-0.1244250731500397,0.5886,W↔L;HW↔HL;P↔P,False,True,COMPUTED
2993799,2026-09-20,receiving,弗洛西诺尼,受让方/下盘,1.25,0.83,0.0,0.0,0.0,0.0,0.0,-0.08160377358490573,-0.22565401383661948,0.2366,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3040754,2026-09-20,giving,维罗纳,让球方/上盘,0.5,0.94,0.0,0.0,0.0,0.0,0.0,-0.03554285714285721,-0.127579974070945,0.3254,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3040754,2026-09-20,receiving,维琴察,受让方/下盘,0.5,0.88,0.0,0.0,0.0,0.0,0.0,-0.054628571428571415,-0.14347161864680802,0.2256,W↔L;HW↔HL;P↔P,False,True,COMPUTED
2998119,2026-09-20,giving,弗雷德里西亚,让球方/上盘,0.25,1.01,0.0,0.0,0.0,0.0,0.0,0.0024999999999999467,-0.06607022623450803,0.526,W↔L;HW↔HL;P↔P,False,True,COMPUTED
2998119,2026-09-20,receiving,瓦埃勒,受让方/下盘,0.25,0.87,0.0,0.0,0.0,0.0,0.0,-0.05355902777777771,-0.11602668154713736,0.129,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3039895,2026-09-20,giving,布拉格斯巴达,让球方/上盘,0.25,0.8,0.0,0.0,0.0,0.0,0.0,-0.08645833333333333,-0.14502183103357003,0.0304,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3039895,2026-09-20,receiving,奥洛穆茨,受让方/下盘,0.25,0.96,0.0,0.0,0.0,0.0,0.0,-0.015277777777777779,-0.0803694906531967,0.3892,W↔L;HW↔HL;P↔P,False,True,COMPUTED
2940755,2026-09-20,giving,图库姆斯,让球方/上盘,0.25,1.04,0.0,0.0,0.0,0.0,0.0,0.01520833333333338,-0.05467066399203671,0.6064,W↔L;HW↔HL;P↔P,False,True,COMPUTED
2940755,2026-09-20,receiving,格洛比纳,受让方/下盘,0.25,0.72,0.0,0.0,0.0,0.0,0.0,-0.11736111111111108,-0.17535879584801844,0.0048,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3005787,2026-09-20,giving,卢布尔雅那奥林匹亚,让球方/上盘,0.5,0.89,0.0,0.0,0.0,0.0,0.0,-0.06040000000000001,-0.15329555655602906,0.2106,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3005787,2026-09-20,receiving,布拉沃佩利根,受让方/下盘,0.5,0.81,0.0,0.0,0.0,0.0,0.0,-0.08982857142857137,-0.17817930351986816,0.0926,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3051965,2026-09-20,giving,布莱顿女足,让球方/上盘,0.75,0.95,0.0,0.0,0.0,0.0,0.0,-0.03395833333333331,-0.1404300893578388,0.334,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3051965,2026-09-20,receiving,阿斯顿维拉女足,受让方/下盘,0.75,0.75,0.0,0.0,0.0,0.0,0.0,-0.09791666666666668,-0.18902003337332207,0.081,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3018813,2026-09-20,giving,勒沃库森,让球方/上盘,0.5,1.0,0.0,0.0,0.0,0.0,0.0,-0.005714285714285727,-0.10139082001743549,0.4666,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3018813,2026-09-20,receiving,RB莱比锡,受让方/下盘,0.5,0.88,0.0,0.0,0.0,0.0,0.0,-0.054628571428571415,-0.14525000829606438,0.2186,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3003581,2026-09-20,giving,圣图尔登,让球方/上盘,1.0,1.03,0.0,0.0,0.0,0.0,0.0,-0.05513157894736842,-0.1847774099960625,0.2892,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3003581,2026-09-20,receiving,韦斯特洛,受让方/下盘,1.0,0.86,0.0,0.0,0.0,0.0,0.0,0.006842105263157872,-0.11656790323449234,0.5256,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3036436,2026-09-20,giving,奥林匹亚科斯,让球方/上盘,1.25,0.87,0.0,0.0,0.0,0.0,0.0,-0.04698113207547169,-0.18894128930956838,0.3352,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3036436,2026-09-20,receiving,莱瓦贾科斯,受让方/下盘,1.25,1.01,0.0,0.0,0.0,0.0,0.0,-0.0051886792452830455,-0.16736350575183256,0.4766,W↔L;HW↔HL;P↔P,False,True,COMPUTED
2910901,2026-09-20,giving,帕尔梅拉斯,让球方/上盘,0.5,0.97,0.0,0.0,0.0,0.0,0.0,-0.02062857142857144,-0.1166679786978479,0.3926,W↔L;HW↔HL;P↔P,False,True,COMPUTED
2910901,2026-09-20,receiving,格雷米奥,受让方/下盘,0.5,0.92,0.0,0.0,0.0,0.0,0.0,-0.034514285714285664,-0.1294660309758946,0.3136,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3026736,2026-09-20,giving,埃尔祖鲁姆体育,让球方/上盘,0.25,1.13,0.0,0.0,0.0,0.0,0.0,0.05333333333333323,-0.01761203544977691,0.8324,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3026736,2026-09-20,receiving,萨姆松体育,受让方/下盘,0.25,0.77,0.0,0.0,0.0,0.0,0.0,-0.09609374999999998,-0.15740121679706454,0.0168,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3026737,2026-09-20,giving,费内巴切,让球方/上盘,2.0,0.81,0.0,0.0,0.0,0.0,0.0,0.14312500000000006,-0.12439552119990949,0.7682,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3026737,2026-09-20,receiving,埃于普体育,受让方/下盘,2.0,1.08,0.0,0.0,0.0,0.0,0.0,-0.22499999999999998,-0.5153076355443817,0.1636,W↔L;HW↔HL;P↔P,False,True,COMPUTED
