date,scope,intent,share,n,settled,pending,W,HW,P,HL,L,effective_win_rate,pnl,ROI_frozen,ROI_settled,mean_water,giving,receiving,small_sample
2026-09-14,COMPUTED_ABCN,阻下/下盘保护,0.2916666666666667,21,18,3,6,3,0,1,8,0.46875,-2.2199999999999998,-0.1057142857142857,-0.12333333333333332,0.8366666666666667,0,21,True
2026-09-14,COMPUTED_ABCN,降温保护/诱下,0.09722222222222222,7,7,0,2,1,1,1,2,0.5,-0.35000000000000003,-0.05,-0.05,0.8557142857142858,7,0,True
2026-09-15,COMPUTED_ABCN,真实示弱/阻下,0.2672413793103448,31,30,1,17,0,0,1,12,0.576271186440678,3.9800000000000004,0.12838709677419355,0.13266666666666668,0.9729032258064516,0,31,False
2026-09-15,COMPUTED_ABCN,真实示强/阻上,0.08620689655172414,10,10,0,5,0,0,0,5,0.5,-0.87,-0.087,-0.087,0.889,10,0,True
2026-09-15,COMPUTED_ABCN,诱上/阻下,0.0603448275862069,7,7,0,4,0,0,0,3,0.5714285714285714,0.17000000000000004,0.024285714285714292,0.024285714285714292,0.7828571428571428,0,7,True
2026-09-15,COMPUTED_ABCN,阻上/诱下,0.22413793103448276,26,25,1,9,0,3,4,9,0.45,-2.46,-0.09461538461538462,-0.0984,0.943076923076923,26,0,True
2026-09-15,COMPUTED_ABCN,阻下/下盘保护,0.3103448275862069,36,34,2,16,2,1,2,13,0.5483870967741935,0.4350000000000001,0.012083333333333337,0.012794117647058827,0.8547222222222222,0,36,False
2026-09-15,COMPUTED_ABCN,降温保护/诱下,0.05172413793103448,6,6,0,5,0,0,1,0,0.9090909090909091,3.94,0.6566666666666666,0.6566666666666666,0.895,6,0,True
2026-09-16,COMPUTED_ABCN,真实示弱/阻下,0.2236024844720497,36,34,2,11,2,1,4,16,0.4,-6.91,-0.19194444444444445,-0.20323529411764707,0.9425,0,36,False
2026-09-16,COMPUTED_ABCN,真实示强/阻上,0.13043478260869565,21,21,0,5,3,1,1,11,0.3611111111111111,-6.29,-0.2995238095238095,-0.2995238095238095,0.8,21,0,True
2026-09-16,COMPUTED_ABCN,诱上/阻下,0.07453416149068323,12,11,1,3,1,0,1,6,0.35,-3.985,-0.33208333333333334,-0.36227272727272725,0.7691666666666667,0,12,True
2026-09-16,COMPUTED_ABCN,阻上/诱下,0.2111801242236025,34,32,2,7,1,0,7,17,0.26785714285714285,-12.935,-0.3804411764705882,-0.40421875,0.9623529411764705,34,0,False
2026-09-16,COMPUTED_ABCN,阻下/下盘保护,0.2670807453416149,43,37,6,18,4,1,0,14,0.5882352941176471,2.175,0.0505813953488372,0.05878378378378378,0.8039534883720932,0,43,False
2026-09-16,COMPUTED_ABCN,降温保护/诱下,0.09316770186335403,15,15,0,6,0,0,2,7,0.42857142857142855,-3.37,-0.22466666666666668,-0.22466666666666668,0.8059999999999998,15,0,True
2026-09-17,COMPUTED_ABCN,真实示弱/阻下,0.3253012048192771,27,27,0,7,2,0,1,17,0.3137254901960784,-9.754999999999999,-0.3612962962962963,-0.3612962962962963,0.9685185185185184,0,27,True
2026-09-17,COMPUTED_ABCN,真实示强/阻上,0.060240963855421686,5,5,0,3,0,1,1,0,0.8571428571428571,1.95,0.39,0.39,0.834,5,0,True
2026-09-17,COMPUTED_ABCN,诱上/阻下,0.04819277108433735,4,4,0,3,0,0,0,1,0.75,1.5299999999999998,0.38249999999999995,0.38249999999999995,0.8375,0,4,True
2026-09-17,COMPUTED_ABCN,阻上/诱下,0.2289156626506024,19,19,0,12,0,1,2,4,0.7058823529411765,5.89,0.31,0.31,0.9073684210526317,19,0,True
2026-09-17,COMPUTED_ABCN,阻下/下盘保护,0.2289156626506024,19,18,1,11,2,0,0,5,0.7058823529411765,4.48,0.23578947368421055,0.2488888888888889,0.8121052631578948,0,19,True
2026-09-17,COMPUTED_ABCN,降温保护/诱下,0.10843373493975904,9,9,0,2,2,1,1,3,0.46153846153846156,-1.4049999999999998,-0.1561111111111111,-0.1561111111111111,0.7666666666666667,9,0,True
2026-09-18,COMPUTED_ABCN,真实示弱/阻下,0.30434782608695654,49,47,2,13,8,3,5,18,0.4533333333333333,-3.9899999999999998,-0.08142857142857142,-0.0848936170212766,1.0061224489795917,0,49,False
2026-09-18,COMPUTED_ABCN,真实示强/阻上,0.018633540372670808,3,3,0,2,0,0,0,1,0.6666666666666666,0.83,0.27666666666666667,0.27666666666666667,0.8099999999999999,3,0,True
2026-09-18,COMPUTED_ABCN,诱上/阻下,0.024844720496894408,4,4,0,2,0,0,0,2,0.5,-0.30999999999999994,-0.07749999999999999,-0.07749999999999999,0.89,0,4,True
2026-09-18,COMPUTED_ABCN,阻上/诱下,0.18012422360248448,29,28,1,7,3,3,4,11,0.3953488372093023,-4.365,-0.15051724137931036,-0.15589285714285714,1.0141379310344827,29,0,True
2026-09-18,COMPUTED_ABCN,阻下/下盘保护,0.42857142857142855,69,68,1,25,7,0,3,33,0.4523809523809524,-10.504999999999999,-0.1522463768115942,-0.15448529411764705,0.8449275362318841,0,69,False
2026-09-18,COMPUTED_ABCN,降温保护/诱下,0.043478260869565216,7,7,0,3,0,1,2,1,0.6,0.54,0.07714285714285715,0.07714285714285715,0.8557142857142858,7,0,True
2026-09-13,ABC,MISSING,1.0,33,30,3,13,1,1,4,11,0.5094339622641509,0.29500000000000015,0.008939393939393943,0.009833333333333338,0.9927272727272727,33,0,False
2026-09-14,ABC,真实示弱/阻下,0.42105263157894735,8,7,1,1,2,1,0,3,0.4,-0.945,-0.118125,-0.13499999999999998,1.05875,0,8,True
2026-09-14,ABC,真实示强/阻上,0.15789473684210525,3,3,0,2,0,0,0,1,0.6666666666666666,0.78,0.26,0.26,0.8233333333333333,3,0,True
2026-09-14,ABC,诱上/阻下,0.05263157894736842,1,1,0,0,0,0,0,1,0.0,-1,-1.0,-1.0,1.02,0,1,True
2026-09-14,ABC,阻上/诱下,0.3684210526315789,7,7,0,5,0,1,0,1,0.8333333333333334,4.01,0.5728571428571428,0.5728571428571428,0.9828571428571429,7,0,True
2026-09-15,ABC,真实示弱/阻下,0.5,16,15,1,8,0,0,0,7,0.5333333333333333,1.1,0.06875,0.07333333333333333,1.0162499999999999,0,16,True
2026-09-15,ABC,真实示强/阻上,0.15625,5,5,0,2,0,0,0,3,0.4,-1.35,-0.27,-0.27,0.8939999999999999,5,0,True
2026-09-15,ABC,阻上/诱下,0.15625,5,5,0,2,0,0,2,1,0.5,0.040000000000000036,0.008000000000000007,0.008000000000000007,1.036,5,0,True
2026-09-15,ABC,阻下/下盘保护,0.15625,5,5,0,2,0,1,0,2,0.5,0.07000000000000006,0.014000000000000012,0.014000000000000012,1.002,0,5,True
2026-09-15,ABC,降温保护/诱下,0.03125,1,1,0,1,0,0,0,0,1.0,1.05,1.05,1.05,1.05,1,0,True
2026-09-16,ABC,真实示弱/阻下,0.3548387096774194,11,10,1,2,1,0,1,6,0.2777777777777778,-3.9699999999999998,-0.3609090909090909,-0.39699999999999996,1.000909090909091,0,11,True
2026-09-16,ABC,真实示强/阻上,0.06451612903225806,2,2,0,0,0,0,0,2,0.0,-2.0,-1.0,-1.0,0.855,2,0,True
2026-09-16,ABC,阻上/诱下,0.3870967741935484,12,11,1,3,1,0,3,4,0.3888888888888889,-1.8449999999999998,-0.15374999999999997,-0.1677272727272727,1.0216666666666665,12,0,True
2026-09-16,ABC,阻下/下盘保护,0.16129032258064516,5,5,0,4,0,1,0,0,1.0,3.7,0.74,0.74,0.9279999999999999,0,5,True
2026-09-16,ABC,降温保护/诱下,0.03225806451612903,1,1,0,1,0,0,0,0,1.0,0.84,0.84,0.84,0.84,1,0,True
2026-09-17,ABC,真实示弱/阻下,0.631578947368421,12,12,0,4,1,0,0,7,0.391304347826087,-2.28,-0.18999999999999997,-0.18999999999999997,1.0375000000000003,0,12,True
2026-09-17,ABC,阻上/诱下,0.3684210526315789,7,7,0,4,0,0,0,3,0.5714285714285714,0.9,0.1285714285714286,0.1285714285714286,0.947142857142857,7,0,True
2026-09-18,ABC,真实示弱/阻下,0.5740740740740741,31,31,0,7,5,3,3,13,0.3958333333333333,-4.825,-0.15564516129032258,-0.15564516129032258,1.0548387096774194,0,31,False
2026-09-18,ABC,真实示强/阻上,0.018518518518518517,1,1,0,1,0,0,0,0,1.0,1.01,1.01,1.01,1.01,1,0,True
2026-09-18,ABC,诱上/阻下,0.018518518518518517,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,1.02,0,1,True
2026-09-18,ABC,阻上/诱下,0.2777777777777778,15,14,1,4,1,0,3,6,0.375,-2.75,-0.18333333333333332,-0.19642857142857142,1.0533333333333335,15,0,True
2026-09-18,ABC,阻下/下盘保护,0.1111111111111111,6,6,0,2,0,0,0,4,0.3333333333333333,-2.14,-0.3566666666666667,-0.3566666666666667,0.9333333333333332,0,6,True
