date,competition,n,settled,pending,W,HW,P,HL,L,effective_win_rate,pnl,ROI_frozen,ROI_settled,mean_water,giving,receiving,small_sample
2026-09-14,葡超,1,1,0,0,1,0,0,0,1.0,0.515,0.515,0.515,1.03,0,1,True
2026-09-15,丹麦杯,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,0.96,0,1,True
2026-09-15,亚冠精英,2,2,0,1,0,0,0,1,0.5,-0.010000000000000009,-0.0050000000000000044,-0.0050000000000000044,0.985,2,0,True
2026-09-15,亚运男足,1,1,0,1,0,0,0,0,1.0,0.86,0.86,0.86,0.86,1,0,True
2026-09-15,保乙,1,1,0,1,0,0,0,0,1.0,1.06,1.06,1.06,1.06,0,1,True
2026-09-15,南美杯,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,1.16,0,1,True
2026-09-15,墨西甲春,1,1,0,0,0,0,1,0,0.0,-0.5,-0.5,-0.5,1.02,1,0,True
2026-09-15,奥丁,1,1,0,1,0,0,0,0,1.0,1.02,1.02,1.02,1.02,0,1,True
2026-09-15,委内超秋,1,0,1,0,0,0,0,0,,,,,1.0,0,1,True
2026-09-15,威超,2,2,0,0,0,0,0,2,0.0,-2.0,-1.0,-1.0,0.99,0,2,True
2026-09-15,巴西乙,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,0.99,0,1,True
2026-09-15,意丙,2,2,0,0,0,0,1,1,0.0,-1.5,-0.75,-0.75,1.08,1,1,True
2026-09-15,意杯,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,1.07,0,1,True
2026-09-15,波兰超,1,1,0,1,0,0,0,0,1.0,1.04,1.04,1.04,1.04,0,1,True
2026-09-15,瑞典甲,1,1,0,1,0,0,0,0,1.0,1.05,1.05,1.05,1.05,1,0,True
2026-09-15,瑞士超,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,1.02,0,1,True
2026-09-15,苏超,1,1,0,1,0,0,0,0,1.0,1.03,1.03,1.03,1.03,0,1,True
2026-09-15,英冠,2,2,0,1,0,0,0,1,0.5,0.030000000000000027,0.015000000000000013,0.015000000000000013,1.02,1,1,True
2026-09-15,英后备,2,2,0,2,0,0,0,0,1.0,2.08,1.04,1.04,1.04,0,2,True
2026-09-15,英联杯,1,1,0,1,0,0,0,0,1.0,0.79,0.79,0.79,0.79,1,0,True
2026-09-15,英议南,1,1,0,1,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0,1,True
2026-09-15,英锦赛,3,3,0,2,0,0,0,1,0.6666666666666666,0.91,0.30333333333333334,0.30333333333333334,0.9566666666666667,1,2,True
2026-09-15,葡U23,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,0.99,0,1,True
2026-09-15,西甲,2,2,0,1,0,0,0,1,0.5,0.050000000000000044,0.025000000000000022,0.025000000000000022,0.95,2,0,True
2026-09-15,阿后备,1,1,0,0,0,1,0,0,,0.0,0.0,0.0,0.91,0,1,True
2026-09-16,亚冠精英,1,1,0,1,0,0,0,0,1.0,1.01,1.01,1.01,1.01,0,1,True
2026-09-16,亚冠联2,2,2,0,0,0,0,0,2,0.0,-2.0,-1.0,-1.0,0.905,2,0,True
2026-09-16,俄超,2,2,0,0,1,0,0,1,0.3333333333333333,-0.47,-0.235,-0.235,1.03,0,2,True
2026-09-16,厄瓜乙,1,1,0,0,1,0,0,0,1.0,0.515,0.515,0.515,1.03,1,0,True
2026-09-16,埃及超,2,2,0,1,0,1,0,0,1.0,1.05,0.525,0.525,0.995,1,1,True
2026-09-16,希腊杯,1,1,0,1,0,0,0,0,1.0,1.03,1.03,1.03,1.03,1,0,True
2026-09-16,德丙,2,2,0,0,0,0,1,1,0.0,-1.5,-0.75,-0.75,1.025,1,1,True
2026-09-16,意丁,4,4,0,0,0,0,1,3,0.0,-3.5,-0.875,-0.875,0.9800000000000001,0,4,True
2026-09-16,挪威杯,3,3,0,1,0,0,0,2,0.3333333333333333,-1.01,-0.33666666666666667,-0.33666666666666667,0.9633333333333334,1,2,True
2026-09-16,捷克杯,1,1,0,1,0,0,0,0,1.0,0.84,0.84,0.84,0.84,1,0,True
2026-09-16,斯伐杯,1,1,0,1,0,0,0,0,1.0,0.76,0.76,0.76,0.76,0,1,True
2026-09-16,欧罗巴杯,4,4,0,1,0,0,1,2,0.2857142857142857,-1.48,-0.37,-0.37,0.9875,3,1,True
2026-09-16,美冠联,1,0,1,0,0,0,0,0,,,,,0.99,1,0,True
2026-09-16,美女职,1,1,0,1,0,0,0,0,1.0,0.86,0.86,0.86,0.86,0,1,True
2026-09-16,英联杯,2,2,0,1,0,0,1,0,0.6666666666666666,0.56,0.28,0.28,1.0350000000000001,1,1,True
2026-09-16,西甲,2,1,1,1,0,0,0,0,1.0,1.06,0.53,1.06,1.045,1,1,True
2026-09-16,阿后备,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,1.11,1,0,True
2026-09-17,世女杯U20,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,1.02,0,1,True
2026-09-17,亚冠联2,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,0.93,1,0,True
2026-09-17,以甲,1,1,0,1,0,0,0,0,1.0,1.05,1.05,1.05,1.05,0,1,True
2026-09-17,俄超,2,2,0,1,0,0,0,1,0.5,0.06000000000000005,0.030000000000000027,0.030000000000000027,1.06,0,2,True
2026-09-17,南美杯,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,0.98,0,1,True
2026-09-17,哈萨克超,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,1.05,0,1,True
2026-09-17,希腊杯,1,1,0,1,0,0,0,0,1.0,0.89,0.89,0.89,0.89,1,0,True
2026-09-17,意丙,1,1,0,0,1,0,0,0,1.0,0.5,0.5,0.5,1.0,0,1,True
2026-09-17,欧罗巴杯,4,4,0,2,0,0,0,2,0.5,-0.010000000000000009,-0.0025000000000000022,-0.0025000000000000022,0.98,3,1,True
2026-09-17,约超联,1,1,0,1,0,0,0,0,1.0,1.05,1.05,1.05,1.05,0,1,True
2026-09-17,英联杯,1,1,0,1,0,0,0,0,1.0,1.02,1.02,1.02,1.02,1,0,True
2026-09-17,解放者杯,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,0.94,1,0,True
2026-09-17,阿尔甲,2,2,0,1,0,0,0,1,0.5,0.06000000000000005,0.030000000000000027,0.030000000000000027,1.05,0,2,True
2026-09-17,首相杯,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,1.01,0,1,True
2026-09-18,中甲,1,1,0,1,0,0,0,0,1.0,1.01,1.01,1.01,1.01,0,1,True
2026-09-18,丹麦甲,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,1.04,1,0,True
2026-09-18,亚运男足,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,0.87,0,1,True
2026-09-18,俄甲,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,1.05,0,1,True
2026-09-18,俄青联,1,1,0,0,1,0,0,0,1.0,0.555,0.555,0.555,1.11,0,1,True
2026-09-18,保甲,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,0.99,0,1,True
2026-09-18,哈萨克超,2,2,0,1,1,0,0,0,1.0,1.62,0.81,0.81,1.06,0,2,True
2026-09-18,哥斯甲春,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,1.09,0,1,True
2026-09-18,土甲,1,1,0,1,0,0,0,0,1.0,1.13,1.13,1.13,1.13,0,1,True
2026-09-18,埃及甲,2,2,0,0,1,0,1,0,0.5,0.09499999999999997,0.04749999999999999,0.04749999999999999,1.12,0,2,True
2026-09-18,塞浦甲,1,1,0,0,0,0,1,0,0.0,-0.5,-0.5,-0.5,1.02,1,0,True
2026-09-18,奥乙,2,2,0,2,0,0,0,0,1.0,2.08,1.04,1.04,1.04,2,0,True
2026-09-18,奥甲,1,1,0,1,0,0,0,0,1.0,1.06,1.06,1.06,1.06,1,0,True
2026-09-18,威超,4,4,0,1,0,0,1,2,0.2857142857142857,-1.5899999999999999,-0.39749999999999996,-0.39749999999999996,1.0425,0,4,True
2026-09-18,巴西乙,2,1,1,0,0,1,0,0,,0.0,0.0,0.0,1.0750000000000002,1,1,True
2026-09-18,德乙,2,2,0,0,0,0,1,1,0.0,-1.5,-0.75,-0.75,1.045,1,1,True
2026-09-18,德甲,1,1,0,1,0,0,0,0,1.0,1.01,1.01,1.01,1.01,1,0,True
2026-09-18,挪超,1,1,0,1,0,0,0,0,1.0,0.86,0.86,0.86,0.86,0,1,True
2026-09-18,日职乙,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,1.11,0,1,True
2026-09-18,比乙,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,1.07,1,0,True
2026-09-18,比甲,1,1,0,0,1,0,0,0,1.0,0.56,0.56,0.56,1.12,1,0,True
2026-09-18,法乙,2,2,0,1,0,0,1,0,0.6666666666666666,0.51,0.255,0.255,1.02,1,1,True
2026-09-18,法甲,1,1,0,1,0,0,0,0,1.0,1.05,1.05,1.05,1.05,1,0,True
2026-09-18,波兰超,1,1,0,0,0,0,1,0,0.0,-0.5,-0.5,-0.5,1.11,0,1,True
2026-09-18,泰超,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,1.02,1,0,True
2026-09-18,爱甲,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,0.94,0,1,True
2026-09-18,瑞士甲,2,2,0,0,0,0,0,2,0.0,-2.0,-1.0,-1.0,1.15,0,2,True
2026-09-18,立陶乙,1,1,0,0,1,0,0,0,1.0,0.525,0.525,0.525,1.05,0,1,True
2026-09-18,约超联,1,1,0,1,0,0,0,0,1.0,0.9,0.9,0.9,0.9,0,1,True
2026-09-18,罗甲,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,1.11,0,1,True
2026-09-18,芬甲,2,2,0,0,0,0,0,2,0.0,-2.0,-1.0,-1.0,1.08,1,1,True
2026-09-18,芬超降,1,1,0,1,0,0,0,0,1.0,0.85,0.85,0.85,0.85,0,1,True
2026-09-18,荷乙,2,2,0,0,0,0,0,2,0.0,-2.0,-1.0,-1.0,1.025,1,1,True
2026-09-18,葡杯,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,1.05,0,1,True
2026-09-18,西乙,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,1.12,1,0,True
2026-09-18,西甲,1,1,0,1,0,0,0,0,1.0,1.06,1.06,1.06,1.06,0,1,True
2026-09-18,阿塞超,1,1,0,0,0,0,0,1,0.0,-1.0,-1.0,-1.0,0.98,0,1,True
2026-09-18,阿尔甲,1,1,0,0,1,0,0,0,1.0,0.51,0.51,0.51,1.02,0,1,True
2026-09-18,阿联酋甲,3,3,0,0,0,1,0,2,0.0,-2.0,-0.6666666666666666,-0.6666666666666666,1.0033333333333332,0,3,True
2026-09-18,非青杯外,1,1,0,0,0,1,0,0,,0.0,0.0,0.0,0.92,0,1,True
