date,EV_gt,P_EV_ge,diagnostic_only,n,settled,pending,W,HW,P,HL,L,effective_win_rate,pnl,ROI_frozen,ROI_settled,mean_water,giving,receiving,small_sample
2026-09-16,0.03,0.85,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-16,0.03,0.95,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-16,0.05,0,True,5,5,0,1,0,0,0,4,0.2,-3.16,-0.632,-0.632,0.8699999999999999,5,0,True
2026-09-16,0.05,0.6,True,5,5,0,1,0,0,0,4,0.2,-3.16,-0.632,-0.632,0.8699999999999999,5,0,True
2026-09-16,0.05,0.7,True,3,3,0,1,0,0,0,2,0.3333333333333333,-1.1600000000000001,-0.3866666666666667,-0.3866666666666667,0.8833333333333333,3,0,True
2026-09-16,0.05,0.85,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-16,0.05,0.95,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-17,0,0,True,17,17,0,6,1,0,0,10,0.3939393939393939,-3.29,-0.1935294117647059,-0.1935294117647059,1.01,5,12,True
2026-09-17,0,0.6,True,14,14,0,6,0,0,0,8,0.42857142857142855,-1.7899999999999998,-0.12785714285714284,-0.12785714285714284,1.01,5,9,True
2026-09-17,0,0.7,True,8,8,0,3,0,0,0,5,0.375,-1.96,-0.245,-0.245,0.9925,4,4,True
2026-09-17,0,0.85,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-17,0,0.95,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-17,0.01,0,True,15,15,0,6,0,0,0,9,0.4,-2.79,-0.186,-0.186,1.0106666666666666,5,10,True
2026-09-17,0.01,0.6,True,14,14,0,6,0,0,0,8,0.42857142857142855,-1.7899999999999998,-0.12785714285714284,-0.12785714285714284,1.01,5,9,True
2026-09-17,0.01,0.7,True,8,8,0,3,0,0,0,5,0.375,-1.96,-0.245,-0.245,0.9925,4,4,True
2026-09-17,0.01,0.85,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-17,0.01,0.95,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-17,0.02,0,True,15,15,0,6,0,0,0,9,0.4,-2.79,-0.186,-0.186,1.0106666666666666,5,10,True
2026-09-17,0.02,0.6,True,14,14,0,6,0,0,0,8,0.42857142857142855,-1.7899999999999998,-0.12785714285714284,-0.12785714285714284,1.01,5,9,True
2026-09-17,0.02,0.7,True,8,8,0,3,0,0,0,5,0.375,-1.96,-0.245,-0.245,0.9925,4,4,True
2026-09-17,0.02,0.85,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-17,0.02,0.95,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-17,0.03,0,True,10,10,0,4,0,0,0,6,0.4,-1.9,-0.19,-0.19,0.993,5,5,True
2026-09-17,0.03,0.6,True,10,10,0,4,0,0,0,6,0.4,-1.9,-0.19,-0.19,0.993,5,5,True
2026-09-17,0.03,0.7,True,8,8,0,3,0,0,0,5,0.375,-1.96,-0.245,-0.245,0.9925,4,4,True
2026-09-17,0.03,0.85,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-17,0.03,0.95,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-17,0.05,0,True,8,8,0,3,0,0,0,5,0.375,-1.96,-0.245,-0.245,0.975,5,3,True
2026-09-17,0.05,0.6,True,8,8,0,3,0,0,0,5,0.375,-1.96,-0.245,-0.245,0.975,5,3,True
2026-09-17,0.05,0.7,True,7,7,0,3,0,0,0,4,0.42857142857142855,-0.96,-0.13714285714285715,-0.13714285714285715,0.9814285714285715,4,3,True
2026-09-17,0.05,0.85,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-17,0.05,0.95,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-18,0,0,True,49,48,1,12,5,3,5,23,0.3625,-10.87,-0.22183673469387755,-0.22645833333333332,1.0285714285714287,14,35,False
2026-09-18,0,0.6,True,28,27,1,6,1,3,2,15,0.28888888888888886,-9.27,-0.33107142857142857,-0.3433333333333333,1.0482142857142855,6,22,True
2026-09-18,0,0.7,True,14,14,0,2,0,2,1,9,0.17391304347826086,-7.25,-0.5178571428571429,-0.5178571428571429,1.0814285714285714,1,13,True
2026-09-18,0,0.85,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-18,0,0.95,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-18,0.01,0,True,39,38,1,9,4,3,4,18,0.3548387096774194,-8.59,-0.22025641025641024,-0.22605263157894737,1.0405128205128202,10,29,False
2026-09-18,0.01,0.6,True,28,27,1,6,1,3,2,15,0.28888888888888886,-9.27,-0.33107142857142857,-0.3433333333333333,1.0482142857142855,6,22,True
2026-09-18,0.01,0.7,True,14,14,0,2,0,2,1,9,0.17391304347826086,-7.25,-0.5178571428571429,-0.5178571428571429,1.0814285714285714,1,13,True
2026-09-18,0.01,0.85,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-18,0.01,0.95,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-18,0.02,0,True,29,28,1,6,2,3,2,15,0.30434782608695654,-8.715,-0.30051724137931035,-0.31124999999999997,1.050344827586207,6,23,True
2026-09-18,0.02,0.6,True,27,26,1,5,1,3,2,15,0.2558139534883721,-10.32,-0.38222222222222224,-0.39692307692307693,1.0481481481481483,5,22,True
2026-09-18,0.02,0.7,True,14,14,0,2,0,2,1,9,0.17391304347826086,-7.25,-0.5178571428571429,-0.5178571428571429,1.0814285714285714,1,13,True
2026-09-18,0.02,0.85,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-18,0.02,0.95,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-18,0.03,0,True,22,22,0,4,2,3,2,11,0.29411764705882354,-6.5249999999999995,-0.29659090909090907,-0.29659090909090907,1.0604545454545453,3,19,True
2026-09-18,0.03,0.6,True,20,20,0,3,1,3,2,11,0.22580645161290322,-8.129999999999999,-0.4065,-0.4065,1.0585000000000002,2,18,True
2026-09-18,0.03,0.7,True,14,14,0,2,0,2,1,9,0.17391304347826086,-7.25,-0.5178571428571429,-0.5178571428571429,1.0814285714285714,1,13,True
2026-09-18,0.03,0.85,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-18,0.03,0.95,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-18,0.05,0,True,10,10,0,2,0,2,1,5,0.26666666666666666,-3.25,-0.325,-0.325,1.0750000000000002,0,10,True
2026-09-18,0.05,0.6,True,10,10,0,2,0,2,1,5,0.26666666666666666,-3.25,-0.325,-0.325,1.0750000000000002,0,10,True
2026-09-18,0.05,0.7,True,10,10,0,2,0,2,1,5,0.26666666666666666,-3.25,-0.325,-0.325,1.0750000000000002,0,10,True
2026-09-18,0.05,0.85,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-18,0.05,0.95,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
