date,model,side,bucket,n,unique_probability_vectors,W_mean,HW_mean,P_mean,HL_mean,L_mean,W_variance,HW_variance,P_variance,HL_variance,L_variance,max_variance,ev_mean,ev_variance,P_EV_positive_mean,P_EV_positive_variance
2026-09-16,V4_DIRECTION_FIXED_R1,receiving,0.25,34,1,0.2743055555555556,0.30208333333333337,0.0,0.0,0.4236111111111111,2.7733391199176196e-32,3.0814879110195774e-33,0.0,0.0,7.703719777548943e-32,7.703719777548943e-32,-0.057687397875816976,0.0018459031142807147,0.18728823529411764,0.04259635574394464
2026-09-16,V4_DIRECTION_FIXED_R1,receiving,0.50,19,1,0.502857142857143,0.0,0.0,0.0,0.4971428571428571,0.0,0.0,0.0,0.0,0.0,0.0,-0.06600902255639099,0.0019453117123636161,0.21153684210526313,0.02931115390581717
2026-09-16,V4_DIRECTION_FIXED_R1,receiving,0.75,14,1,0.44166666666666654,0.0,0.0,0.25833333333333336,0.29999999999999993,2.7733391199176196e-32,0.0,0.0,0.0,3.0814879110195774e-33,2.7733391199176196e-32,-0.045863095238095265,0.0031773428642290252,0.31829999999999997,0.04180311285714285
2026-09-16,V4_DIRECTION_FIXED_R1,receiving,1.00,6,1,0.42105263157894735,0.0,0.2236842105263158,0.0,0.3552631578947368,0.0,0.0,0.0,0.0,3.0814879110195774e-33,3.0814879110195774e-33,-0.012807017543859675,0.0014044936903662663,0.4444333333333333,0.026010978888888887
2026-09-16,V4_DIRECTION_FIXED_R1,receiving,1.25,8,1,0.2830188679245283,0.2830188679245283,0.0,0.0,0.4339622641509434,0.0,0.0,0.0,0.0,3.0814879110195774e-33,3.0814879110195774e-33,-0.11238207547169812,0.0024994854708081165,0.171225,0.016802104374999998
2026-09-16,V4_DIRECTION_FIXED_R1,receiving,1.50,2,1,0.40625,0.0,0.0,0.0,0.59375,0.0,0.0,0.0,0.0,0.0,0.0,-0.2159375,0.0010562500000000018,0.1088,0.002025
2026-09-16,V4_DIRECTION_FIXED_R1,receiving,1.75,2,1,0.4,0.0,0.0,0.2857142857142857,0.3142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,-0.0871428571428571,0.0009,0.274,0.0058369599999999995
2026-09-16,V4_DIRECTION_FIXED_R1,receiving,2.00,2,1,0.3125,0.0,0.125,0.0,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,-0.2984375,0.002346191406250002,0.0854,0.00254016
2026-09-16,V4_DIRECTION_FIXED_R1,receiving,2.25,1,1,0.2777777777777778,0.2222222222222222,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.12277777777777782,0.0,0.281,0.0
2026-09-16,V4_DIRECTION_FIXED_R1,receiving,2.50,1,1,0.8181818181818182,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.9688,0.0
2026-09-16,V4_DIRECTION_FIXED_R1,receiving,3.25,1,1,0.40854472630173566,0.13885180240320427,0.0,0.0,0.45260347129506007,0.0,0.0,0.0,0.0,0.0,0.0,0.02058744993324435,0.0,0.7312,0.0
2026-09-16,V4_DIRECTION_FIXED_R1,receiving,4.50,1,1,0.4744186046511628,0.0,0.0,0.0,0.5255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,-0.060651162790697655,0.0,0.0584,0.0
2026-09-17,V4_DIRECTION_FIXED_R1,giving,0.25,6,1,0.4236111111111111,0.0,0.0,0.3020833333333333,0.2743055555555556,0.0,0.0,0.0,0.0,0.0,0.0,-0.040567129629629654,0.001097115188828874,0.24939999999999998,0.03639070666666666
2026-09-17,V4_DIRECTION_FIXED_R1,giving,0.50,7,1,0.4971428571428572,0.0,0.0,0.0,0.5028571428571428,3.0814879110195774e-33,0.0,0.0,0.0,1.232595164407831e-32,1.232595164407831e-32,-0.11082448979591837,0.004585912403165347,0.1268,0.013979794285714288
2026-09-17,V4_DIRECTION_FIXED_R1,giving,0.75,7,1,0.3,0.25833333333333336,0.0,0.0,0.44166666666666654,0.0,0.0,0.0,0.0,1.232595164407831e-32,1.232595164407831e-32,-0.08423214285714284,0.0014193446712018134,0.16005714285714287,0.017875059591836738
2026-09-17,V4_DIRECTION_FIXED_R1,giving,1.00,3,1,0.3552631578947369,0.0,0.2236842105263158,0.0,0.42105263157894735,3.0814879110195774e-33,0.0,0.0,0.0,0.0,3.0814879110195774e-33,-0.13092105263157894,0.001062984764542936,0.0914,0.003925226666666668
2026-09-17,V4_DIRECTION_FIXED_R1,giving,1.25,2,1,0.4339622641509434,0.0,0.0,0.2830188679245283,0.2830188679245283,0.0,0.0,0.0,0.0,0.0,0.0,-0.06650943396226414,0.00038135457458170126,0.27849999999999997,0.0038812899999999995
2026-09-17,V4_DIRECTION_FIXED_R1,giving,1.50,3,1,0.59375,0.0,0.0,0.0,0.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.13802083333333334,0.0005718967013888891,0.7968666666666667,0.0013853422222222212
2026-09-17,V4_DIRECTION_FIXED_R1,giving,2.25,1,1,0.5,0.0,0.0,0.2222222222222222,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.13111111111111112,0.0,0.7366,0.0
2026-09-17,V4_DIRECTION_FIXED_R1,giving,2.75,2,1,0.4,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.37300000000000005,0.0015210000000000026,0.8823000000000001,0.00021025000000000037
2026-09-17,V4_DIRECTION_FIXED_R1,giving,3.00,1,1,0.42857142857142855,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.11285714285714288,0.0,0.662,0.0
2026-09-17,V4_DIRECTION_FIXED_R1,giving,5.00,1,1,0.5105421686746988,0.0,0.0286144578313253,0.0,0.4608433734939759,0.0,0.0,0.0,0.0,0.0,0.0,-0.0626204819277108,0.0,0.032,0.0
2026-09-17,V4_DIRECTION_FIXED_R1,receiving,0.25,20,1,0.2743055555555555,0.30208333333333326,0.0,0.0,0.42361111111111105,1.232595164407831e-32,3.0814879110195774e-33,0.0,0.0,4.930380657631324e-32,4.930380657631324e-32,-0.039735243055555536,0.002257658687638648,0.28501000000000004,0.06839746989999998
2026-09-17,V4_DIRECTION_FIXED_R1,receiving,0.50,8,1,0.5028571428571429,0.0,0.0,0.0,0.49714285714285716,1.232595164407831e-32,0.0,0.0,0.0,3.0814879110195774e-33,1.232595164407831e-32,-0.04645714285714286,0.0017886269387755096,0.28345,0.03293110750000001
2026-09-17,V4_DIRECTION_FIXED_R1,receiving,0.75,7,1,0.44166666666666654,0.0,0.0,0.25833333333333336,0.3,1.232595164407831e-32,0.0,0.0,0.0,0.0,1.232595164407831e-32,-0.03671428571428571,0.002265194160997733,0.32762857142857144,0.0425093306122449
2026-09-17,V4_DIRECTION_FIXED_R1,receiving,1.00,4,1,0.42105263157894735,0.0,0.2236842105263158,0.0,0.35526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.027894736842105264,0.0073839335180055365,0.5951,0.09551401000000001
2026-09-17,V4_DIRECTION_FIXED_R1,receiving,1.25,2,1,0.2830188679245283,0.2830188679245283,0.0,0.0,0.4339622641509434,0.0,0.0,0.0,0.0,0.0,0.0,-0.032783018867924535,0.0001126401744393019,0.38880000000000003,0.00181476
2026-09-17,V4_DIRECTION_FIXED_R1,receiving,1.50,3,1,0.40625,0.0,0.0,0.0,0.59375,0.0,0.0,0.0,0.0,0.0,0.0,-0.27281250000000007,0.0006931640624999999,0.043733333333333325,0.00026672888888888886
2026-09-17,V4_DIRECTION_FIXED_R1,receiving,1.75,3,1,0.4000000000000001,0.0,0.0,0.2857142857142857,0.3142857142857143,3.0814879110195774e-33,0.0,0.0,0.0,0.0,3.0814879110195774e-33,-0.07180952380952377,9.955555555555525e-05,0.30666666666666664,0.00043680888888888905
2026-09-17,V4_DIRECTION_FIXED_R1,receiving,2.00,1,1,0.3125,0.0,0.125,0.0,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,-0.259375,0.0,0.12,0.0
2026-09-17,V4_DIRECTION_FIXED_R1,receiving,3.25,1,1,0.40854472630173566,0.13885180240320427,0.0,0.0,0.45260347129506007,0.0,0.0,0.0,0.0,0.0,0.0,-0.13236315086782374,0.0,0.0,0.0
