match_id,match,list_date,decision_at,rule_version,action,selected_team,selected_side,direction,line,water,probability,threshold,risk,reason,top5_status,frozen,source_card,competition,kickoff,home_team,away_team
2993793,都灵 vs 罗马,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,可投,罗马（反向=上盘）,upper,反向,一球,0.86,0.584,0.5576344086021506,状态A-正常态,通过：综合胜率58.4% >= 阈值55.8%；风控状态A-正常态,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,意甲,2026-9-15 00:30 北京时间（东8区）,都灵,罗马
2998244,中日德兰 vs 布隆德比,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,布隆德比（反向=下盘）,lower,反向,半球/一球,0.86,0.532,0.5576344086021506,状态A-正常态,综合胜率53.2%低于水位阈值55.8%,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,丹麦超,2026-9-15 01:00 北京时间（东8区）,中日德兰,布隆德比
3030150,开塞利体育 vs 伊斯坦堡士邦,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,伊斯坦堡士邦（反向=下盘）,lower,反向,一球/球半,0.87,0.514,0.55475935828877,状态A-正常态,综合胜率51.4%低于水位阈值55.5%,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,土甲,2026-9-15 01:00 北京时间（东8区）,开塞利体育,伊斯坦堡士邦
3026729,加济安泰普大都会 vs 费内巴切,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,费内巴切（反向=上盘）,upper,反向,一球,0.85,0.545,0.5605405405405405,状态A-正常态,综合胜率54.5%低于水位阈值56.1%,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,土超,2026-9-15 01:00 北京时间（东8区）,加济安泰普大都会,费内巴切
2912890,博德闪耀 vs 桑德菲杰,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,桑德菲杰（反向=下盘）,lower,反向,两球半,0.98,0.514,0.5250505050505051,状态A-正常态,综合胜率51.4%低于水位阈值52.5%,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,挪超,2026-9-15 01:00 北京时间（东8区）,博德闪耀,桑德菲杰
2914700,奥雷布洛 vs 北欧联FC,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,无，不投,,正向,平手/半球,0,0,0,,标签历史或微观组合样本缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,瑞典甲,2026-9-15 01:00 北京时间（东8区）,奥雷布洛,北欧联FC
2914698,诺尔比 vs 瓦尔贝里,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,无，不投,upper,正向,平手/半球,0,0,0,,标签历史或微观组合样本缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,瑞典甲,2026-9-15 01:00 北京时间（东8区）,诺尔比,瓦尔贝里
2912274,天狼星 vs 代格福什,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,无，不投,upper,正向,一球/球半,0,0,0,,标签历史或微观组合样本缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,瑞典超,2026-9-15 01:00 北京时间（东8区）,天狼星,代格福什
2912268,尤尔加登 vs 哥德堡盖斯,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,哥德堡盖斯（反向=下盘）,lower,反向,一球/球半,0.8,0.532,0.5755555555555556,状态A-正常态,综合胜率53.2%低于水位阈值57.6%,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,瑞典超,2026-9-15 01:00 北京时间（东8区）,尤尔加登,哥德堡盖斯
3023786,波尔图B队 vs 维泽拉,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,无，不投,,正向,半球,0,0,0,,标签历史或微观组合样本缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,葡甲,2026-9-15 01:00 北京时间（东8区）,波尔图B队,维泽拉
