date,match_id,league,region,kickoff,frozen_at,handicap,intent,time_bucket,score,result_available_at,source,v4_side,v4_grade,v4_ev,v4_probability,v4_result,v4_pnl,v4_hypothetical_unit_pnl,v41_side,v41_grade,v41_probability,v41_ev,v41_ev_p10,v41_result,v41_pnl,v41_hypothetical_unit_pnl,same_side,different_side,comparison_group,decision_id,settlement_status
2026-09-19,3003440,斯伐超,其他系列,2026-09-20T00:00:00+08:00,2026-09-19T23:21:02.387786+08:00,0.75,阻下/下盘保护,T-30,1-0,2026-09-20T08:43:49.923193+08:00,D:\codex\v41\data\raw\20260920_084349\20260920_084349_bfdata_ut.js,receiving,N,-0.07141666666666666,"[0.44166666666666665,0.0,0.0,0.25833333333333336,0.3]",HL,0.0,-0.5,giving,N,"[0.3084775911639656,0.27967590698655787,0.0,0.0,0.41184650184947647]",0.04991850914748541,-0.0024862537211360926,HW,0.0,0.515,False,False,NEITHER,196d7fbf959ca1101510a0472ba7e5e70561dddc5b210f92d6b865872339addf,SETTLED
2026-09-19,3003442,斯伐超,其他系列,2026-09-20T00:00:00+08:00,2026-09-19T23:21:02.407803+08:00,1.5,阻下/下盘保护,T-30,2-1,2026-09-20T08:43:49.923193+08:00,D:\codex\v41\data\raw\20260920_084349\20260920_084349_bfdata_ut.js,receiving,N,-0.24843750000000003,"[0.40625,0.0,0.0,0.0,0.59375]",W,0.0,0.85,receiving,N,"[0.5448188204786506,0.0,0.0,0.0,0.45518117952134945]",0.007914817885503522,-0.054943032425095,W,0.0,0.85,False,False,NEITHER,fae7c9ff1b5ea09162be6fa4d9ecf0896af5b470ebe048495ac07cb4ceb847be,SETTLED
2026-09-19,3003897,英超,欧洲五大系列,2026-09-20T00:30:00+08:00,2026-09-20T00:04:21.263636+08:00,0.75,真实示弱/阻下,T-30,0-1,2026-09-20T08:43:49.923193+08:00,D:\codex\v41\data\raw\20260920_084349\20260920_084349_bfdata_ut.js,receiving,C,0.05224999999999996,"[0.44166666666666665,0.0,0.0,0.25833333333333336,0.3]",W,1.09,1.09,giving,N,"[0.43474994516181675,0.16988614121102238,0.0,0.0,0.3953639136271609]",0.020390498986701477,-0.0019188387764177027,L,0.0,-1.0,False,False,A_V4_ONLY,d7378def6a79e0f6a925caa503936b19dbadb2eb55e36b95883d389e4a22e3b6,SETTLED
2026-09-19,3005789,斯亚甲,其他系列,2026-09-19T23:30:00+08:00,2026-09-19T22:55:26.939578+08:00,0.75,阻下/下盘保护,T-30,2-0,2026-09-20T08:43:49.923193+08:00,D:\codex\v41\data\raw\20260920_084349\20260920_084349_bfdata_ut.js,receiving,N,-0.040500000000000036,"[0.44166666666666665,0.0,0.0,0.25833333333333336,0.3]",L,0.0,-1.0,giving,N,"[0.3421886441544408,0.24548200766176106,0.0,0.0,0.4123293481837981]",0.02470452092240394,-0.041687033172201626,W,0.0,0.94,False,False,NEITHER,1ca23be0634fafcac0ae19e1505c3fdebbf9e090c3bbe5c0df8c54855effe097,SETTLED
2026-09-19,3010037,秘鲁甲秋,其他系列,2026-09-20T09:15:00+08:00,2026-09-20T08:43:51.650683+08:00,1.25,真实示弱/阻下,T-30,1-1,2026-09-20T11:44:08.161180+08:00,D:\codex\v41\data\raw\20260920_114407\20260920_114407_bfdata_ut.js,receiving,N,-0.02216981132075474,"[0.2830188679245283,0.2830188679245283,0.0,0.0,0.4339622641509434]",W,0.0,0.97,receiving,N,"[0.25246870443488373,0.3706952397295165,0.0,0.0,0.37683605583559976]",0.04784577873505297,-0.012196515256122491,W,0.0,0.97,False,False,NEITHER,addf62f4fd1388c0f4cfea9fc579b8323a8f0149e7ba025e0f9bc9124204e763,SETTLED
2026-09-19,3010636,奥甲,其他系列,2026-09-19T23:00:00+08:00,2026-09-19T22:23:54.409017+08:00,0.25,真实示弱/阻下,T-30,2-0,2026-09-20T08:43:49.923193+08:00,D:\codex\v41\data\raw\20260920_084349\20260920_084349_bfdata_ut.js,receiving,C,0.010243055555555602,"[0.2743055555555556,0.3020833333333333,0.0,0.0,0.4236111111111111]",W,1.02,1.02,receiving,N,"[0.3130366824069129,0.31713326526182556,0.0,0.0,0.3698300523312615]",0.11120532900732077,0.1010113577224469,W,0.0,1.02,False,False,A_V4_ONLY,b611612c11fa5a6ca92afb9d5cf9688b319d974f2e67b9864d52e81deff54349,SETTLED
2026-09-19,3011404,匈甲,其他系列,2026-09-19T23:00:00+08:00,2026-09-19T22:23:54.429599+08:00,0.25,阻下/下盘保护,T-30,0-1,2026-09-20T08:43:49.923193+08:00,D:\codex\v41\data\raw\20260920_084349\20260920_084349_bfdata_ut.js,receiving,N,-0.019531250000000056,"[0.2743055555555556,0.3020833333333333,0.0,0.0,0.4236111111111111]",L,0.0,-1.0,receiving,N,"[0.32959758330484534,0.3219671847936846,0.0,0.0,0.34843523190147]",0.11761688501513318,0.1066336141355881,L,0.0,-1.0,False,False,NEITHER,311e8d63ceab0044f8f089768d5690bd6732605ced18b924a696ea91d683b546,SETTLED
2026-09-19,3011862,哥伦甲秋,其他系列,2026-09-20T09:15:00+08:00,2026-09-20T08:43:51.676276+08:00,0.25,真实示弱/阻下,T-30,1-0,2026-09-20T11:44:08.161180+08:00,D:\codex\v41\data\raw\20260920_114407\20260920_114407_bfdata_ut.js,receiving,N,-0.006770833333333337,"[0.2743055555555556,0.3020833333333333,0.0,0.0,0.4236111111111111]",W,0.0,0.98,receiving,N,"[0.3069233720454217,0.3278238461029037,0.0,0.0,0.3652527818516746]",0.09616580734326147,0.08175287112661896,W,0.0,0.98,False,False,NEITHER,3033b3fd932b5ed86c2c46eeacbab9dc2ff22fa0a5131fb8e0acd186cc009d75,SETTLED
2026-09-19,3013704,西甲,欧洲五大系列,2026-09-20T00:30:00+08:00,2026-09-20T00:04:21.284706+08:00,0.5,阻下/下盘保护,T-30,5-0,2026-09-20T08:43:49.923193+08:00,D:\codex\v41\data\raw\20260920_084349\20260920_084349_bfdata_ut.js,receiving,C,0.03085714285714286,"[0.5028571428571429,0.0,0.0,0.0,0.49714285714285716]",L,-1.0,-1.0,giving,N,"[0.5133650925298964,0.0,0.0,0.0,0.4866349074701036]",-0.055408229744990656,-0.13911462436429003,W,0.0,0.84,False,False,A_V4_ONLY,5a95123b2a52e66701001cb2c7790528f56e10347f7e3707d5163d761138f1cc,SETTLED
2026-09-19,3014080,西乙,欧洲五大系列,2026-09-20T00:30:00+08:00,2026-09-20T00:04:21.305659+08:00,1.25,阻上/诱下,T-30,5-0,2026-09-20T08:43:49.923193+08:00,D:\codex\v41\data\raw\20260920_084349\20260920_084349_bfdata_ut.js,giving,C,0.03547169811320755,"[0.4339622641509434,0.0,0.0,0.2830188679245283,0.2830188679245283]",W,1.06,1.06,receiving,N,"[0.3884863096447192,0.31194191671166904,0.0,0.0,0.2995717736436117]",0.15232775879684785,0.0970770759792716,L,0.0,-1.0,False,False,A_V4_ONLY,55aa03fd837f528b10d7405d65099f064f72912249d1e542d5cdcd42519ab949,SETTLED
